db.file	Genome	DB	Region	FI.1	FI.2	FI.3	URL	dbScore
hg19.refseq.cgi.genebody.lincRNA.RData	hg19	refseq	cgi	genebody	lincRNA	NA	NA	2
hg19.refseq.cgi.genebody.miRNA.RData	hg19	refseq	cgi	genebody	miRNA	NA	NA	2
hg19.refseq.cgi.genebody.misc.RData	hg19	refseq	cgi	genebody	misc	NA	NA	2
hg19.refseq.cgi.genebody.protein_coding.RData	hg19	refseq	cgi	genebody	protein_coding	NA	NA	1
hg19.refseq.exon.altAcceptor.lincRNA.RData	hg19	refseq	exon	altAcceptor	lincRNA	NA	NA	3
hg19.refseq.exon.altAcceptor.miRNA.RData	hg19	refseq	exon	altAcceptor	miRNA	NA	NA	3
hg19.refseq.exon.altAcceptor.misc.RData	hg19	refseq	exon	altAcceptor	misc	NA	NA	3
hg19.refseq.exon.altAcceptor.protein_coding.RData	hg19	refseq	exon	altAcceptor	protein_coding	NA	NA	2
hg19.refseq.exon.altBoth.lincRNA.RData	hg19	refseq	exon	altBoth	lincRNA	NA	NA	3
hg19.refseq.exon.altBoth.misc.RData	hg19	refseq	exon	altBoth	misc	NA	NA	3
hg19.refseq.exon.altBoth.protein_coding.RData	hg19	refseq	exon	altBoth	protein_coding	NA	NA	2
hg19.refseq.exon.altDonor.lincRNA.RData	hg19	refseq	exon	altDonor	lincRNA	NA	NA	3
hg19.refseq.exon.altDonor.misc.RData	hg19	refseq	exon	altDonor	misc	NA	NA	3
hg19.refseq.exon.altDonor.protein_coding.RData	hg19	refseq	exon	altDonor	protein_coding	NA	NA	2
hg19.refseq.exon.canonical.lincRNA.RData	hg19	refseq	exon	canonical	lincRNA	NA	NA	2
hg19.refseq.exon.canonical.miRNA.RData	hg19	refseq	exon	canonical	miRNA	NA	NA	2
hg19.refseq.exon.canonical.misc.RData	hg19	refseq	exon	canonical	misc	NA	NA	2
hg19.refseq.exon.canonical.protein_coding.RData	hg19	refseq	exon	canonical	protein_coding	NA	NA	1
hg19.refseq.exon.polyA.lincRNA.RData	hg19	refseq	exon	polyA	lincRNA	NA	NA	3
hg19.refseq.exon.polyA.miRNA.RData	hg19	refseq	exon	polyA	miRNA	NA	NA	3
hg19.refseq.exon.polyA.misc.RData	hg19	refseq	exon	polyA	misc	NA	NA	3
hg19.refseq.exon.polyA.protein_coding.RData	hg19	refseq	exon	polyA	protein_coding	NA	NA	2
hg19.refseq.exon.promoter.lincRNA.RData	hg19	refseq	exon	promoter	lincRNA	NA	NA	3
hg19.refseq.exon.promoter.miRNA.RData	hg19	refseq	exon	promoter	miRNA	NA	NA	3
hg19.refseq.exon.promoter.misc.RData	hg19	refseq	exon	promoter	misc	NA	NA	3
hg19.refseq.exon.promoter.protein_coding.RData	hg19	refseq	exon	promoter	protein_coding	NA	NA	2
hg19.refseq.exon.variant.lincRNA.RData	hg19	refseq	exon	variant	lincRNA	NA	NA	3
hg19.refseq.exon.variant.miRNA.RData	hg19	refseq	exon	variant	miRNA	NA	NA	3
hg19.refseq.exon.variant.misc.RData	hg19	refseq	exon	variant	misc	NA	NA	3
hg19.refseq.exon.variant.protein_coding.RData	hg19	refseq	exon	variant	protein_coding	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	genebody	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	genebody	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	genebody	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	genebody	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.lincRNA.RData	hg19	ensembl	tss	lincRNA	NA	NA	NA	2
hg19.ensembl.genebody.miRNA.RData	hg19	ensembl	tss	miRNA	NA	NA	NA	2
hg19.ensembl.genebody.misc.RData	hg19	ensembl	tss	misc	NA	NA	NA	2
hg19.ensembl.genebody.protein_coding.RData	hg19	ensembl	tss	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.pseudogene.RData	hg19	ensembl	tss	pseudogene	NA	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	tss	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	tss	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	tss	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	tss	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.lincRNA.RData	hg19	ensembl	tes	lincRNA	NA	NA	NA	2
hg19.ensembl.genebody.miRNA.RData	hg19	ensembl	tes	miRNA	NA	NA	NA	2
hg19.ensembl.genebody.misc.RData	hg19	ensembl	tes	misc	NA	NA	NA	2
hg19.ensembl.genebody.protein_coding.RData	hg19	ensembl	tes	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.pseudogene.RData	hg19	ensembl	tes	pseudogene	NA	NA	NA	2
hg19.refseq.genebody.lincRNA.RData	hg19	refseq	tes	lincRNA	NA	NA	NA	2
hg19.refseq.genebody.miRNA.RData	hg19	refseq	tes	miRNA	NA	NA	NA	2
hg19.refseq.genebody.misc.RData	hg19	refseq	tes	misc	NA	NA	NA	2
hg19.refseq.genebody.protein_coding.RData	hg19	refseq	tes	protein_coding	NA	NA	NA	1
mm10.ensembl.cgi.Genebody.lincRNA.RData	mm10	ensembl	cgi	Genebody	lincRNA	NA	NA	2
mm10.ensembl.cgi.Genebody.misc.RData	mm10	ensembl	cgi	Genebody	misc	NA	NA	2
mm10.ensembl.cgi.Genebody.protein_coding.RData	mm10	ensembl	cgi	Genebody	protein_coding	NA	NA	1
mm10.ensembl.cgi.Genebody.pseudogene.RData	mm10	ensembl	cgi	Genebody	pseudogene	NA	NA	2
mm10.ensembl.cgi.Genedeserts.No_anno.RData	mm10	ensembl	cgi	Genedeserts	No_anno	NA	NA	2
mm10.ensembl.cgi.OtherIntergenic.No_anno.RData	mm10	ensembl	cgi	OtherIntergenic	No_anno	NA	NA	2
mm10.ensembl.cgi.Pericentromere.No_anno.RData	mm10	ensembl	cgi	Pericentromere	No_anno	NA	NA	2
mm10.ensembl.cgi.Promoter1k.lincRNA.RData	mm10	ensembl	cgi	Promoter1k	lincRNA	NA	NA	2
mm10.ensembl.cgi.Promoter1k.miRNA.RData	mm10	ensembl	cgi	Promoter1k	miRNA	NA	NA	2
mm10.ensembl.cgi.Promoter1k.misc.RData	mm10	ensembl	cgi	Promoter1k	misc	NA	NA	2
mm10.ensembl.cgi.Promoter1k.protein_coding.RData	mm10	ensembl	cgi	Promoter1k	protein_coding	NA	NA	1
mm10.ensembl.cgi.Promoter1k.pseudogene.RData	mm10	ensembl	cgi	Promoter1k	pseudogene	NA	NA	2
mm10.ensembl.cgi.Promoter3k.lincRNA.RData	mm10	ensembl	cgi	Promoter3k	lincRNA	NA	NA	2
mm10.ensembl.cgi.Promoter3k.miRNA.RData	mm10	ensembl	cgi	Promoter3k	miRNA	NA	NA	2
mm10.ensembl.cgi.Promoter3k.misc.RData	mm10	ensembl	cgi	Promoter3k	misc	NA	NA	2
mm10.ensembl.cgi.Promoter3k.protein_coding.RData	mm10	ensembl	cgi	Promoter3k	protein_coding	NA	NA	1
mm10.ensembl.cgi.Promoter3k.pseudogene.RData	mm10	ensembl	cgi	Promoter3k	pseudogene	NA	NA	2
mm10.ensembl.cgi.ProximalPromoter.lincRNA.RData	mm10	ensembl	cgi	ProximalPromoter	lincRNA	NA	NA	1
mm10.ensembl.cgi.ProximalPromoter.miRNA.RData	mm10	ensembl	cgi	ProximalPromoter	miRNA	NA	NA	1
mm10.ensembl.cgi.ProximalPromoter.misc.RData	mm10	ensembl	cgi	ProximalPromoter	misc	NA	NA	1
mm10.ensembl.cgi.ProximalPromoter.protein_coding.RData	mm10	ensembl	cgi	ProximalPromoter	protein_coding	NA	NA	0
mm10.ensembl.cgi.ProximalPromoter.pseudogene.RData	mm10	ensembl	cgi	ProximalPromoter	pseudogene	NA	NA	1
mm10.ensembl.cgi.Subtelomere.No_anno.RData	mm10	ensembl	cgi	Subtelomere	No_anno	NA	NA	2
mm10.ensembl.exon.altAcceptor.lincRNA.RData	mm10	ensembl	exon	altAcceptor	lincRNA	NA	NA	3
mm10.ensembl.exon.altAcceptor.misc.RData	mm10	ensembl	exon	altAcceptor	misc	NA	NA	3
mm10.ensembl.exon.altAcceptor.protein_coding.RData	mm10	ensembl	exon	altAcceptor	protein_coding	NA	NA	2
mm10.ensembl.exon.altAcceptor.pseudogene.RData	mm10	ensembl	exon	altAcceptor	pseudogene	NA	NA	3
mm10.ensembl.exon.altBoth.lincRNA.RData	mm10	ensembl	exon	altBoth	lincRNA	NA	NA	3
mm10.ensembl.exon.altBoth.misc.RData	mm10	ensembl	exon	altBoth	misc	NA	NA	3
mm10.ensembl.exon.altBoth.protein_coding.RData	mm10	ensembl	exon	altBoth	protein_coding	NA	NA	2
mm10.ensembl.exon.altBoth.pseudogene.RData	mm10	ensembl	exon	altBoth	pseudogene	NA	NA	3
mm10.ensembl.exon.altDonor.lincRNA.RData	mm10	ensembl	exon	altDonor	lincRNA	NA	NA	3
mm10.ensembl.exon.altDonor.misc.RData	mm10	ensembl	exon	altDonor	misc	NA	NA	3
mm10.ensembl.exon.altDonor.protein_coding.RData	mm10	ensembl	exon	altDonor	protein_coding	NA	NA	2
mm10.ensembl.exon.altDonor.pseudogene.RData	mm10	ensembl	exon	altDonor	pseudogene	NA	NA	3
mm10.ensembl.exon.canonical.lincRNA.RData	mm10	ensembl	exon	canonical	lincRNA	NA	NA	2
mm10.ensembl.exon.canonical.misc.RData	mm10	ensembl	exon	canonical	misc	NA	NA	2
mm10.ensembl.exon.canonical.protein_coding.RData	mm10	ensembl	exon	canonical	protein_coding	NA	NA	1
mm10.ensembl.exon.canonical.pseudogene.RData	mm10	ensembl	exon	canonical	pseudogene	NA	NA	2
mm10.ensembl.exon.polyA.lincRNA.RData	mm10	ensembl	exon	polyA	lincRNA	NA	NA	3
mm10.ensembl.exon.polyA.misc.RData	mm10	ensembl	exon	polyA	misc	NA	NA	3
mm10.ensembl.exon.polyA.protein_coding.RData	mm10	ensembl	exon	polyA	protein_coding	NA	NA	2
mm10.ensembl.exon.polyA.pseudogene.RData	mm10	ensembl	exon	polyA	pseudogene	NA	NA	3
mm10.ensembl.exon.promoter.lincRNA.RData	mm10	ensembl	exon	promoter	lincRNA	NA	NA	3
mm10.ensembl.exon.promoter.miRNA.RData	mm10	ensembl	exon	promoter	miRNA	NA	NA	3
mm10.ensembl.exon.promoter.misc.RData	mm10	ensembl	exon	promoter	misc	NA	NA	3
mm10.ensembl.exon.promoter.protein_coding.RData	mm10	ensembl	exon	promoter	protein_coding	NA	NA	2
mm10.ensembl.exon.promoter.pseudogene.RData	mm10	ensembl	exon	promoter	pseudogene	NA	NA	3
mm10.ensembl.exon.variant.lincRNA.RData	mm10	ensembl	exon	variant	lincRNA	NA	NA	3
mm10.ensembl.exon.variant.misc.RData	mm10	ensembl	exon	variant	misc	NA	NA	3
mm10.ensembl.exon.variant.protein_coding.RData	mm10	ensembl	exon	variant	protein_coding	NA	NA	2
mm10.ensembl.exon.variant.pseudogene.RData	mm10	ensembl	exon	variant	pseudogene	NA	NA	3
mm10.ensembl.genebody.lincRNA.RData	mm10	ensembl	genebody	lincRNA	NA	NA	NA	2
mm10.ensembl.genebody.miRNA.RData	mm10	ensembl	genebody	miRNA	NA	NA	NA	2
mm10.ensembl.genebody.misc.RData	mm10	ensembl	genebody	misc	NA	NA	NA	2
mm10.ensembl.genebody.protein_coding.RData	mm10	ensembl	genebody	protein_coding	NA	NA	NA	1
mm10.ensembl.genebody.pseudogene.RData	mm10	ensembl	genebody	pseudogene	NA	NA	NA	2
mm10.refseq.cgi.Genebody.misc.RData	mm10	refseq	cgi	Genebody	misc	NA	NA	2
mm10.refseq.cgi.Genebody.protein_coding.RData	mm10	refseq	cgi	Genebody	protein_coding	NA	NA	1
mm10.refseq.cgi.Genedeserts.No_anno.RData	mm10	refseq	cgi	Genedeserts	No_anno	NA	NA	2
mm10.refseq.cgi.OtherIntergenic.No_anno.RData	mm10	refseq	cgi	OtherIntergenic	No_anno	NA	NA	2
mm10.refseq.cgi.Pericentromere.No_anno.RData	mm10	refseq	cgi	Pericentromere	No_anno	NA	NA	2
mm10.refseq.cgi.Promoter1k.misc.RData	mm10	refseq	cgi	Promoter1k	misc	NA	NA	2
mm10.refseq.cgi.Promoter1k.protein_coding.RData	mm10	refseq	cgi	Promoter1k	protein_coding	NA	NA	1
mm10.refseq.cgi.Promoter3k.misc.RData	mm10	refseq	cgi	Promoter3k	misc	NA	NA	2
mm10.refseq.cgi.Promoter3k.protein_coding.RData	mm10	refseq	cgi	Promoter3k	protein_coding	NA	NA	1
mm10.refseq.cgi.ProximalPromoter.misc.RData	mm10	refseq	cgi	ProximalPromoter	misc	NA	NA	1
mm10.refseq.cgi.ProximalPromoter.protein_coding.RData	mm10	refseq	cgi	ProximalPromoter	protein_coding	NA	NA	0
mm10.refseq.cgi.Subtelomere.No_anno.RData	mm10	refseq	cgi	Subtelomere	No_anno	NA	NA	2
mm10.refseq.exon.altAcceptor.misc.RData	mm10	refseq	exon	altAcceptor	misc	NA	NA	3
mm10.refseq.exon.altAcceptor.protein_coding.RData	mm10	refseq	exon	altAcceptor	protein_coding	NA	NA	2
mm10.refseq.exon.altBoth.misc.RData	mm10	refseq	exon	altBoth	misc	NA	NA	3
mm10.refseq.exon.altBoth.protein_coding.RData	mm10	refseq	exon	altBoth	protein_coding	NA	NA	2
mm10.refseq.exon.altDonor.misc.RData	mm10	refseq	exon	altDonor	misc	NA	NA	3
mm10.refseq.exon.altDonor.protein_coding.RData	mm10	refseq	exon	altDonor	protein_coding	NA	NA	2
mm10.refseq.exon.canonical.misc.RData	mm10	refseq	exon	canonical	misc	NA	NA	2
mm10.refseq.exon.canonical.protein_coding.RData	mm10	refseq	exon	canonical	protein_coding	NA	NA	1
mm10.refseq.exon.polyA.misc.RData	mm10	refseq	exon	polyA	misc	NA	NA	3
mm10.refseq.exon.polyA.protein_coding.RData	mm10	refseq	exon	polyA	protein_coding	NA	NA	2
mm10.refseq.exon.promoter.misc.RData	mm10	refseq	exon	promoter	misc	NA	NA	3
mm10.refseq.exon.promoter.protein_coding.RData	mm10	refseq	exon	promoter	protein_coding	NA	NA	2
mm10.refseq.exon.variant.misc.RData	mm10	refseq	exon	variant	misc	NA	NA	3
mm10.refseq.exon.variant.protein_coding.RData	mm10	refseq	exon	variant	protein_coding	NA	NA	2
mm10.refseq.genebody.misc.RData	mm10	refseq	genebody	misc	NA	NA	NA	2
mm10.refseq.genebody.protein_coding.RData	mm10	refseq	genebody	protein_coding	NA	NA	NA	1
mm10.ensembl.genebody.lincRNA.RData	mm10	ensembl	tss	lincRNA	NA	NA	NA	2
mm10.ensembl.genebody.miRNA.RData	mm10	ensembl	tss	miRNA	NA	NA	NA	2
mm10.ensembl.genebody.misc.RData	mm10	ensembl	tss	misc	NA	NA	NA	2
mm10.ensembl.genebody.protein_coding.RData	mm10	ensembl	tss	protein_coding	NA	NA	NA	1
mm10.ensembl.genebody.pseudogene.RData	mm10	ensembl	tss	pseudogene	NA	NA	NA	2
mm10.refseq.genebody.misc.RData	mm10	refseq	tss	misc	NA	NA	NA	2
mm10.refseq.genebody.protein_coding.RData	mm10	refseq	tss	protein_coding	NA	NA	NA	1
mm10.ensembl.genebody.lincRNA.RData	mm10	ensembl	tes	lincRNA	NA	NA	NA	2
mm10.ensembl.genebody.miRNA.RData	mm10	ensembl	tes	miRNA	NA	NA	NA	2
mm10.ensembl.genebody.misc.RData	mm10	ensembl	tes	misc	NA	NA	NA	2
mm10.ensembl.genebody.protein_coding.RData	mm10	ensembl	tes	protein_coding	NA	NA	NA	1
mm10.ensembl.genebody.pseudogene.RData	mm10	ensembl	tes	pseudogene	NA	NA	NA	2
mm10.refseq.genebody.misc.RData	mm10	refseq	tes	misc	NA	NA	NA	2
mm10.refseq.genebody.protein_coding.RData	mm10	refseq	tes	protein_coding	NA	NA	NA	1
hg38.ensembl.cgi.Genebody.lincRNA.RData	hg38	ensembl	cgi	Genebody	lincRNA	NA	NA	2
hg38.ensembl.cgi.Genebody.misc.RData	hg38	ensembl	cgi	Genebody	misc	NA	NA	2
hg38.ensembl.cgi.Genebody.protein_coding.RData	hg38	ensembl	cgi	Genebody	protein_coding	NA	NA	1
hg38.ensembl.cgi.Genedeserts.No_anno.RData	hg38	ensembl	cgi	Genedeserts	No_anno	NA	NA	2
hg38.ensembl.cgi.OtherIntergenic.No_anno.RData	hg38	ensembl	cgi	OtherIntergenic	No_anno	NA	NA	2
hg38.ensembl.cgi.Promoter1k.lincRNA.RData	hg38	ensembl	cgi	Promoter1k	lincRNA	NA	NA	2
hg38.ensembl.cgi.Promoter1k.miRNA.RData	hg38	ensembl	cgi	Promoter1k	miRNA	NA	NA	2
hg38.ensembl.cgi.Promoter1k.misc.RData	hg38	ensembl	cgi	Promoter1k	misc	NA	NA	2
hg38.ensembl.cgi.Promoter1k.protein_coding.RData	hg38	ensembl	cgi	Promoter1k	protein_coding	NA	NA	1
hg38.ensembl.cgi.Promoter3k.lincRNA.RData	hg38	ensembl	cgi	Promoter3k	lincRNA	NA	NA	2
hg38.ensembl.cgi.Promoter3k.miRNA.RData	hg38	ensembl	cgi	Promoter3k	miRNA	NA	NA	2
hg38.ensembl.cgi.Promoter3k.misc.RData	hg38	ensembl	cgi	Promoter3k	misc	NA	NA	2
hg38.ensembl.cgi.Promoter3k.protein_coding.RData	hg38	ensembl	cgi	Promoter3k	protein_coding	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.lincRNA.RData	hg38	ensembl	cgi	ProximalPromoter	lincRNA	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.miRNA.RData	hg38	ensembl	cgi	ProximalPromoter	miRNA	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.misc.RData	hg38	ensembl	cgi	ProximalPromoter	misc	NA	NA	1
hg38.ensembl.cgi.ProximalPromoter.protein_coding.RData	hg38	ensembl	cgi	ProximalPromoter	protein_coding	NA	NA	0
hg38.ensembl.cgi.Subtelomere.No_anno.RData	hg38	ensembl	cgi	Subtelomere	No_anno	NA	NA	2
hg38.ensembl.exon.altAcceptor.lincRNA.RData	hg38	ensembl	exon	altAcceptor	lincRNA	NA	NA	3
hg38.ensembl.exon.altAcceptor.misc.RData	hg38	ensembl	exon	altAcceptor	misc	NA	NA	3
hg38.ensembl.exon.altAcceptor.protein_coding.RData	hg38	ensembl	exon	altAcceptor	protein_coding	NA	NA	2
hg38.ensembl.exon.altBoth.lincRNA.RData	hg38	ensembl	exon	altBoth	lincRNA	NA	NA	3
hg38.ensembl.exon.altBoth.misc.RData	hg38	ensembl	exon	altBoth	misc	NA	NA	3
hg38.ensembl.exon.altBoth.protein_coding.RData	hg38	ensembl	exon	altBoth	protein_coding	NA	NA	2
hg38.ensembl.exon.altDonor.lincRNA.RData	hg38	ensembl	exon	altDonor	lincRNA	NA	NA	3
hg38.ensembl.exon.altDonor.misc.RData	hg38	ensembl	exon	altDonor	misc	NA	NA	3
hg38.ensembl.exon.altDonor.protein_coding.RData	hg38	ensembl	exon	altDonor	protein_coding	NA	NA	2
