ensembl_transcript_id	hgnc_symbol
ENST00000178640	MAP2K5
ENST00000179259	TIGAR
ENST00000180166	FGF20
ENST00000180173	MTMR7
ENST00000181383	CPB2
ENST00000181796	FAM107B
ENST00000181839	CDK13
ENST00000182377	FAR2
ENST00000182527	TRAM2
ENST00000183605	CLDN18
ENST00000184183	ROPN1
ENST00000184266	NDUFB4
ENST00000184956	HEATR6
ENST00000185150	ERLEC1
ENST00000185206	CLIC5
ENST00000186436	TMEM131
ENST00000187397	ARPP21
ENST00000187762	TMEM38A
ENST00000187830	PVR
ENST00000187879	ZNF222
ENST00000187910	PSG6
ENST00000188312	ACTR6
ENST00000188376	SLC25A3
ENST00000188403	NR1H4
ENST00000188790	FAP
ENST00000189444	NFKB2
ENST00000189978	MUSK
ENST00000190165	DMRT3
ENST00000190611	OSBPL6
ENST00000190983	WISP2
ENST00000191018	CTSA
ENST00000191063	ANKRD16
ENST00000192314	GAL3ST2
ENST00000192788	UHRF1BP1
ENST00000193029	MOK
ENST00000193322	OSTM1
ENST00000193391	IMPG2
ENST00000193403	ACTN1
ENST00000194118	KIAA0141
ENST00000194130	SLC13A1
ENST00000194214	HSPB11
ENST00000194530	STRADB
ENST00000194672	FAM135A
ENST00000194900	DLG3
ENST00000195173	SEMA5B
ENST00000195649	SNAP91
ENST00000196061	PLOD1
ENST00000196169	TDRD3
ENST00000196371	OXCT1
ENST00000196482	ZNF324
ENST00000196551	RPS5
ENST00000197268	FAM234B
ENST00000198536	PILRA
ENST00000198765	CPNE3
ENST00000198767	RRN3
ENST00000198801	MOGAT2
ENST00000198939	CHERP
ENST00000199280	AQP2
ENST00000199320	DIMT1
ENST00000199389	EIF2AK1
ENST00000199447	NME8
ENST00000199448	EPDR1
ENST00000199706	MRPL28
ENST00000199708	HBQ1
ENST00000199764	CEACAM6
ENST00000199814	RBM22
ENST00000199936	HSD17B2
ENST00000199940	MAP2
ENST00000200135	ZW10
ENST00000200181	ITGB4
ENST00000200453	PPP1R15A
ENST00000200457	TRIP6
ENST00000200557	ADAM11
ENST00000200639	LAMP2
ENST00000200652	SLC22A4
ENST00000200676	CETP
ENST00000201015	PTHLH
ENST00000201031	TFAP2C
ENST00000201586	SULT2B1
ENST00000201943	CACNB4
ENST00000201961	NOL4L
ENST00000201963	DNMT3B
ENST00000202017	PDRG1
ENST00000202028	EPB41L1
ENST00000202556	PPP1R13B
ENST00000202625	TGM6
ENST00000202677	RALGAPA2
ENST00000202773	RPL6
ENST00000202816	ESF1
ENST00000202831	SLC8B1
ENST00000202834	TMEM230
ENST00000202917	OAS1
ENST00000202967	SIRT4
ENST00000203001	TRMT6
ENST00000203166	HAUS5
ENST00000203407	UQCRC1
ENST00000203556	GMIP
ENST00000203629	LAG3
ENST00000203630	MLF2
ENST00000204005	LTBP4
ENST00000204517	TFAP4
ENST00000204549	PDCD7
ENST00000204566	SPG21
ENST00000204615	THPO
ENST00000204637	FLT3LG
ENST00000204679	GNPTG
ENST00000204726	GOLGA3
ENST00000204801	CD209
ENST00000204961	EFNB1
ENST00000205061	GLG1
ENST00000205135	PLEKHG2
ENST00000205143	DLL3
ENST00000205194	NAT14
ENST00000205214	AASDH
ENST00000205386	LAMB4
ENST00000205402	DLD
ENST00000205557	ABCC6
ENST00000205636	CMTM6
ENST00000205890	MYO15A
ENST00000205948	APOH
ENST00000206020	SPAG7
ENST00000206249	ESR1
ENST00000206262	RGS17
ENST00000206380	TMEM101
ENST00000206423	CCDC80
ENST00000206451	PSME1
ENST00000206474	HAUS4
ENST00000206542	OSGEP
ENST00000206544	SLC22A17
ENST00000206595	G2E3
ENST00000206765	TGM1
ENST00000207157	TBX15
ENST00000207457	TEKT2
ENST00000207549	UNC13D
ENST00000207636	COMT
ENST00000207771	VNN3
ENST00000207870	XYLB
ENST00000209540	OR1I1
ENST00000209668	ADH1A
ENST00000209728	CDC6
ENST00000209873	AAAS
ENST00000209875	CBX5
ENST00000209884	KLHL20
ENST00000209929	FMO2
ENST00000210060	DHPS
ENST00000210187	RAB26
ENST00000210227	PTBP3
ENST00000210313	PSMD5
ENST00000210444	NANS
ENST00000210633	SEMA4G
ENST00000211122	GSTA3
ENST00000211287	MAPK13
ENST00000211314	TMEM14A
ENST00000211936	ZNF184
ENST00000211998	VCL
ENST00000212015	SIRT1
ENST00000212355	TGFBR3
ENST00000214869	TMED1
ENST00000214893	ERMP1
ENST00000215057	MZF1
ENST00000215061	OCEL1
ENST00000215071	PSMD8
ENST00000215095	STX1B
ENST00000215115	BCL7C
ENST00000215368	EFNA2
ENST00000215375	ATP5D
ENST00000215376	CBARP
ENST00000215473	PCDH11Y
ENST00000215530	FGF22
ENST00000215531	SMIM24
ENST00000215555	MARCH2
ENST00000215565	NDUFB7
ENST00000215567	TECR
ENST00000215570	TIMM13
ENST00000215574	CDC34
ENST00000215582	MISP
ENST00000215587	POLR2E
ENST00000215631	GADD45B
ENST00000215637	MADCAM1
ENST00000215659	MAPK12
ENST00000215727	SERPIND1
ENST00000215730	SNAP29
ENST00000215739	LZTR1
ENST00000215742	THAP7
ENST00000215781	OSM
ENST00000215790	TBC1D10A
ENST00000215793	SF3A1
ENST00000215794	USP18
ENST00000215798	RNF215
ENST00000215812	SEC14L3
ENST00000215829	SNRPD3
ENST00000215832	MAPK1
ENST00000215838	TCN2
ENST00000215855	CRYBB3
ENST00000215862	MORC2
ENST00000215882	SLC25A1
ENST00000215885	PLA2G3
ENST00000215886	LGALS2
ENST00000215904	PDXP
ENST00000215906	ASPHD2
ENST00000215909	LGALS1
ENST00000215912	PIK3IP1
ENST00000215917	SRRD
ENST00000215919	PATZ1
ENST00000215939	CRYBB1
ENST00000215941	ANKRD54
ENST00000215956	SNU13
ENST00000215957	MICALL1
ENST00000215980	CENPM
ENST00000216014	KDELR3
ENST00000216019	DDX17
ENST00000216024	DMC1
ENST00000216027	HSCB
ENST00000216029	CBY1
ENST00000216034	TOMM22
ENST00000216036	RSPH14
ENST00000216037	XBP1
ENST00000216038	RTCB
ENST00000216039	JOSD1
ENST00000216044	GTPBP1
ENST00000216061	PPP6R2
ENST00000216068	DNAL4
ENST00000216071	C22orf31
ENST00000216075	MIOX
ENST00000216080	LMF2
ENST00000216083	CBX6
ENST00000216085	RHBDD3
ENST00000216099	APOBEC3D
ENST00000216106	HMGXB4
ENST00000216115	BIK
ENST00000216117	HMOX1
ENST00000216121	NIPSNAP1
ENST00000216122	MCM5
ENST00000216124	ARSA
ENST00000216127	RASD2
ENST00000216129	TTLL12
ENST00000216133	CBX7
ENST00000216146	RPL3
ENST00000216155	SYNGR1
ENST00000216160	TAB1
ENST00000216177	PNPLA5
ENST00000216180	PNPLA3
ENST00000216181	MYH9
ENST00000216185	TXN2
ENST00000216187	FOXRED2
ENST00000216190	EIF3D
ENST00000216194	ADSL
ENST00000216211	UPK3A
ENST00000216214	FAM118A
ENST00000216218	ST13
ENST00000216223	IL2RB
ENST00000216225	RBX1
ENST00000216237	L3MBTL2
ENST00000216241	CHADL
ENST00000216252	PHF5A
ENST00000216254	ACO2
ENST00000216259	PMM1
ENST00000216264	CERK
ENST00000216267	BRD1
ENST00000216268	ZBED4
ENST00000216271	HDAC10
ENST00000216277	PAPOLA
ENST00000216281	HSP90AA1
ENST00000216286	NID2
ENST00000216288	MARK3
ENST00000216294	SNAPC1
ENST00000216297	SUPT16H
ENST00000216327	ABHD4
ENST00000216330	FKBP3
ENST00000216350	PRMT5
ENST00000216361	COCH
ENST00000216366	AP4S1
ENST00000216367	POLE2
ENST00000216373	SOS2
ENST00000216378	CDKL1
ENST00000216392	PYGL
ENST00000216410	GNPNAT1
ENST00000216414	CDKN3
ENST00000216416	CNIH1
ENST00000216420	CGRRF1
ENST00000216442	ATP6V1D
ENST00000216445	C14orf105
ENST00000216446	PLEK2
ENST00000216450	LRRC74A
ENST00000216452	PIGH
ENST00000216455	PSMA3
ENST00000216456	VTI1B
ENST00000216463	TIMM9
ENST00000216465	GSTZ1
ENST00000216468	TMED8
ENST00000216471	SAMD15
ENST00000216479	AHSA1
ENST00000216481	ISM2
ENST00000216484	SPTLC2
ENST00000216487	RIN3
ENST00000216489	ALKBH1
ENST00000216500	DHRS7
ENST00000216513	SIX4
ENST00000216517	CEP128
ENST00000216520	ERH
ENST00000216540	SLC10A1
ENST00000216554	EIF5
ENST00000216568	SLC8A3
ENST00000216602	ZFYVE21
ENST00000216605	MTHFD1
ENST00000216629	BDKRB1
ENST00000216639	VRK1
ENST00000216658	PAPLN
ENST00000216714	APEX1
ENST00000216727	PABPN1
ENST00000216756	CINP
ENST00000216774	SRP54
ENST00000216780	PCK2
ENST00000216797	NFKBIA
ENST00000216799	EMC9
ENST00000216802	PSME2
ENST00000216807	BRMS1L
ENST00000216832	PNN
ENST00000216840	RABGGTA
ENST00000216862	CYP24A1
ENST00000216877	PTPRA
ENST00000216879	NSFL1C
ENST00000216923	ZFP64
ENST00000216927	SIRPG
ENST00000216951	GSS
ENST00000216962	PYGB
ENST00000216968	PROCR
ENST00000217026	MYBL2
ENST00000217043	R3HDML
ENST00000217073	PABPC1L
ENST00000217074	PABPC1L
ENST00000217075	PABPC1L
ENST00000217086	SALL4
ENST00000217109	CSTF1
ENST00000217121	TPD52L2
ENST00000217130	ZNF512B
ENST00000217131	CTSZ
ENST00000217133	TUBB1
ENST00000217159	SLCO4A1
ENST00000217162	TCFL5
ENST00000217173	UBOX5
ENST00000217182	EEF1A2
ENST00000217185	PTK6
ENST00000217188	SRMS
ENST00000217195	C20orf27
ENST00000217233	TRIB3
ENST00000217244	CSNK2A1
ENST00000217246	MACROD2
ENST00000217254	SLC52A3
ENST00000217260	RSPO4
ENST00000217289	FERMT1
ENST00000217305	PDYN
ENST00000217315	TM9SF4
ENST00000217320	TLDC2
ENST00000217381	SNTA1
ENST00000217386	OXT
ENST00000217398	PXMP4
ENST00000217402	CHMP4B
ENST00000217407	LBP
ENST00000217425	WFDC2
ENST00000217426	AHCY
ENST00000217429	FAM83D
ENST00000217446	PIGU
ENST00000217455	ACOT8
ENST00000217456	APMAP
ENST00000217515	TXNL1
ENST00000217652	MYL12A
ENST00000217740	RNF125
ENST00000217800	POLI
ENST00000217885	NOX1
ENST00000217890	ARSD
ENST00000217901	IDH3G
ENST00000217909	SLC25A43
ENST00000217926	H2BFWT
ENST00000217939	MXRA5
ENST00000217957	VSIG1
ENST00000217958	PSMD10
ENST00000217961	STS
ENST00000217964	TBL1X
ENST00000217971	PGRMC1
ENST00000217999	RHOXF1
ENST00000218004	NXT2
ENST00000218006	GUCY2F
ENST00000218008	ATP1B4
ENST00000218032	TLR8
ENST00000218056	WDR13
ENST00000218068	PAGE4
ENST00000218075	GLRA2
ENST00000218089	STAG2
ENST00000218104	ABCD1
ENST00000218147	BCORL1
ENST00000218176	KCND1
ENST00000218197	SLC25A14
ENST00000218200	FMR1
ENST00000218224	PQBP1
ENST00000218230	PCSK1N
ENST00000218328	HUWE1
ENST00000218340	RP2
ENST00000218348	USP11
ENST00000218364	HTATSF1
ENST00000218388	TIMP1
ENST00000218432	PIN4
ENST00000218436	ITIH6
ENST00000218439	MAGED2
ENST00000218516	GLA
ENST00000218548	ATP12A
ENST00000218652	NDFIP2
ENST00000218721	MLNR
ENST00000218758	ACP5
ENST00000218789	ARHGEF7
ENST00000218867	SGCG
ENST00000218981	DHRS12
ENST00000219022	OLFM4
ENST00000219054	ACSM2A
ENST00000219066	NTHL1
ENST00000219069	ZNF263
ENST00000219070	MMP2
ENST00000219084	CHD9
ENST00000219091	ZNF205
ENST00000219097	ORC6
ENST00000219139	C16orf70
ENST00000219150	CORO1A
ENST00000219162	MT4
ENST00000219168	LYRM1
ENST00000219169	NUTF2
ENST00000219197	CBLN1
ENST00000219204	ARL2BP
ENST00000219207	PLLP
ENST00000219235	CCL22
ENST00000219240	DHODH
ENST00000219244	CCL17
ENST00000219251	ACD
ENST00000219252	POLR2C
ENST00000219255	PARD6A
ENST00000219271	MMP15
ENST00000219281	USB1
ENST00000219299	CCDC113
ENST00000219301	PRSS54
ENST00000219302	NME3
ENST00000219313	PSMD7
ENST00000219315	SETD6
ENST00000219320	SLC38A7
ENST00000219322	HAS3
ENST00000219334	SMPD3
ENST00000219343	SLC7A6
ENST00000219345	PLA2G15
ENST00000219368	FA2H
ENST00000219400	CMC2
ENST00000219406	PDIA2
ENST00000219409	ARHGDIG
ENST00000219431	MPG
ENST00000219439	HSDL1
ENST00000219454	WFDC1
ENST00000219473	USP10
ENST00000219476	TSC2
ENST00000219478	ZNF500
ENST00000219479	NME4
ENST00000219481	DECR2
ENST00000219535	FAM173A
ENST00000219542	METRN
ENST00000219548	STUB1
ENST00000219596	MEFV
ENST00000219599	CRYM
ENST00000219611	CAPN15
ENST00000219660	AQP8
ENST00000219689	USP31
ENST00000219746	TOX3
ENST00000219771	QPRT
ENST00000219782	MAZ
ENST00000219789	CDIPT
ENST00000219794	BCKDK
ENST00000219797	KAT8
ENST00000219821	TMC5
ENST00000219833	SLC6A2
ENST00000219837	KNOP1
ENST00000219905	MGA
ENST00000219919	AQP9
ENST00000220003	CSK
ENST00000220058	MTFMT
ENST00000220062	RASL12
ENST00000220166	CTSH
ENST00000220244	CEMIP
ENST00000220325	EHD4
ENST00000220420	TGM5
ENST00000220429	GABPB1
ENST00000220478	SCG3
ENST00000220496	DNAJC17
ENST00000220507	RHOV
ENST00000220509	VPS18
ENST00000220514	OIP5
ENST00000220531	BLOC1S6
ENST00000220562	EXTL3
ENST00000220584	FDFT1
ENST00000220592	AGO2
ENST00000220597	PAG1
ENST00000220616	TG
ENST00000220659	BRF2
ENST00000220669	ZFAND1
ENST00000220676	RP1
ENST00000220751	RIPK2
ENST00000220763	CPQ
ENST00000220764	DECR1
ENST00000220772	SFRP1
ENST00000220809	PLAT
ENST00000220812	DKK4
ENST00000220822	GDAP1
ENST00000220847	PHF20L1
ENST00000220849	EIF3E
ENST00000220853	EMC2
ENST00000220856	WISP1
ENST00000220876	STMN2
ENST00000220888	TRPS1
ENST00000220913	CHRAC1
ENST00000220931	NCALD
ENST00000220959	UBR5
ENST00000221086	MTMR9
ENST00000221114	DCTN6
ENST00000221130	GSR
ENST00000221132	TNFRSF10A
ENST00000221138	PPP2CB
ENST00000221166	NEFM
ENST00000221200	KCTD9
ENST00000221222	HOMER3
ENST00000221233	EXOSC5
ENST00000221249	PNPLA6
ENST00000221264	PLAUR
ENST00000221265	PAF1
ENST00000221283	STXBP2
ENST00000221307	CYP4F3
ENST00000221315	ZNF432
ENST00000221327	ZNF180
ENST00000221363	MAN2B1
ENST00000221399	TULP2
ENST00000221403	DHDH
ENST00000221413	RUVBL2
ENST00000221418	ECH1
ENST00000221419	HNRNPL
ENST00000221421	LHB
ENST00000221431	SARS2
ENST00000221444	KCNA7
ENST00000221448	SNRNP70
ENST00000221452	RELB
ENST00000221455	CLASRP
ENST00000221459	LIN7B
ENST00000221462	PPP1R37
ENST00000221466	FCGRT
ENST00000221476	CKM
ENST00000221480	PEX11G
ENST00000221485	SLC17A7
ENST00000221486	RNASEH2A
ENST00000221494	SF3A2
ENST00000221498	DKKL1
ENST00000221504	TRMT1
ENST00000221538	RSPH6A
ENST00000221543	TBC1D17
ENST00000221554	CCDC130
ENST00000221561	AES
ENST00000221566	SGTA
ENST00000221573	SNAPC2
ENST00000221576	C19orf53
ENST00000221665	FIZ1
ENST00000221671	C19orf44
ENST00000221700	CYP4F2
ENST00000221730	EPHX3
ENST00000221735	ZNF419
ENST00000221742	SLC1A6
ENST00000221770	POP4
ENST00000221784	PDCD5
ENST00000221797	LGALS13
ENST00000221847	EBI3
ENST00000221855	TBCB
ENST00000221856	FSD1
ENST00000221859	POLR2I
ENST00000221891	APLP1
ENST00000221899	CACTIN
ENST00000221905	ARHGAP33
ENST00000221922	CCDC9
ENST00000221930	TGFB1
ENST00000221943	ATP5SL
ENST00000221957	PLIN3
ENST00000221972	CD79A
ENST00000221973	LIM2
ENST00000221975	RPS19
ENST00000221978	NKG7
ENST00000221980	ICAM5
ENST00000221992	CEACAM5
ENST00000221996	CRX
ENST00000222002	SULT2A1
ENST00000222005	CDC37
ENST00000222008	RABAC1
ENST00000222032	CNFN
ENST00000222033	ZNRF4
ENST00000222115	HAS1
ENST00000222120	RAB3D
ENST00000222122	DBP
ENST00000222125	CAPS
ENST00000222139	EPOR
ENST00000222145	RASIP1
ENST00000222157	FGF21
ENST00000222190	WDR83OS
ENST00000222212	CACNG7
ENST00000222214	GCDH
ENST00000222219	DNASE2
ENST00000222247	RPL18A
ENST00000222248	SLC5A5
ENST00000222249	KCNN1
ENST00000222250	ARRDC2
ENST00000222254	PIK3R2
ENST00000222256	RAB3A
ENST00000222266	PSENEN
ENST00000222271	COMP
ENST00000222275	UPK1A
ENST00000222284	TMEM147
ENST00000222286	GAPDHS
ENST00000222305	USF2
ENST00000222307	KXD1
ENST00000222308	FKBP8
ENST00000222329	ERF
ENST00000222330	GSK3A
ENST00000222339	ZNF574
ENST00000222345	SIPA1L3
ENST00000222374	CADM4
ENST00000222381	PON1
ENST00000222382	CYP3A43
ENST00000222388	ABCF2
ENST00000222390	HGF
ENST00000222396	
ENST00000222399	LAMB1
ENST00000222402	UBE2D4
ENST00000222462	WNT16
ENST00000222481	CPA2
ENST00000222482	CPA4
ENST00000222511	GTPBP10
ENST00000222543	TFPI2
ENST00000222547	BET1
ENST00000222553	NAMPT
ENST00000222567	TWISTNB
ENST00000222572	PON2
ENST00000222573	ITGB8
ENST00000222574	HBP1
ENST00000222584	SP4
ENST00000222597	CBLL1
ENST00000222598	DLX5
ENST00000222644	MPP6
ENST00000222673	OGDH
ENST00000222674	NPVF
ENST00000222690	H2AFV
ENST00000222693	CAV2
ENST00000222718	HOXA2
ENST00000222725	LFNG
ENST00000222728	HOXA6
ENST00000222747	TSPAN12
ENST00000222753	HOXA13
ENST00000222761	EVX1
ENST00000222792	CHN2
ENST00000222800	ABHD11
ENST00000222803	FKBP14
ENST00000222812	STX1A
ENST00000222823	NOD1
ENST00000222902	CCL24
ENST00000222969	BUD31
ENST00000222982	CYP3A5
ENST00000222990	SNX8
ENST00000223023	WASL
ENST00000223026	HYAL4
ENST00000223028	SPAM1
ENST00000223029	AIMP2
ENST00000223051	TFR2
ENST00000223054	MOSPD3
ENST00000223061	PCOLCE
ENST00000223073	RBM28
ENST00000223076	
ENST00000223084	LSM5
ENST00000223095	SERPINE1
ENST00000223114	MOGAT3
ENST00000223122	C1GALT1
ENST00000223127	PLOD3
ENST00000223129	RPA3
ENST00000223136	FIS1
ENST00000223145	GLCCI1
ENST00000223167	MYL10
ENST00000223190	NRF1
ENST00000223208	CEP41
ENST00000223210	ZNF862
ENST00000223273	YAE1D1
ENST00000223293	GIMAP2
ENST00000223321	PSMA2
ENST00000223324	MRPL32
ENST00000223336	COA1
ENST00000223361	POLD2
ENST00000223368	BCL7B
ENST00000223369	YKT6
ENST00000223398	CLIP2
ENST00000223423	PTGS1
ENST00000223428	ZNF510
ENST00000223459	ZNF688
ENST00000223500	CHMP5
ENST00000223517	SPATA6L
ENST00000223528	FKTN
ENST00000223609	PRUNE2
ENST00000223641	SEC61B
ENST00000223642	C5
ENST00000223791	AKNA
ENST00000223795	TNFSF8
ENST00000223864	PLGRKT
ENST00000223865	TBC1D13
ENST00000223951	ELAVL2
ENST00000224073	EDF1
ENST00000224140	SETX
ENST00000224181	C8G
ENST00000224237	VIM
ENST00000224337	BLNK
ENST00000224356	CYP26A1
ENST00000224652	ATE1
ENST00000224721	CDH23
ENST00000224756	CCSER2
ENST00000224807	SFXN3
ENST00000224862	FBXL15
ENST00000224949	PITRM1
ENST00000224950	OBFC1
ENST00000225171	DNAJC12
ENST00000225174	PPIF
ENST00000225235	TBC1D12
ENST00000225275	MPO
ENST00000225276	ST6GALNAC2
ENST00000225296	DHX33
ENST00000225298	UTP18
ENST00000225308	SLC25A39
ENST00000225328	P2RX5
ENST00000225371	EPX
ENST00000225387	CRYBA1
ENST00000225388	NUFIP2
ENST00000225394	GIT1
ENST00000225430	RPL19
ENST00000225441	RUNDC3A
ENST00000225474	CSF3
ENST00000225504	SUPT4H1
ENST00000225519	SHPK
ENST00000225525	TAX1BP3
ENST00000225538	P2RX1
ENST00000225567	GOSR2
ENST00000225573	PNPO
ENST00000225576	TVP23C
ENST00000225577	RPS6KB1
ENST00000225587	ZNF29P
ENST00000225603	CBX1
ENST00000225609	PIGL
ENST00000225614	GALK1
ENST00000225648	HOXB6
ENST00000225655	PFN1
ENST00000225665	SLC25A11
ENST00000225688	RASD1
ENST00000225696	NUP88
ENST00000225698	C1QBP
ENST00000225719	CPD
ENST00000225724	GOSR1
ENST00000225726	CCDC47
ENST00000225728	MED31
ENST00000225729	DRG2
