Geneid	Eff_Size	percentage_gc_content
ENSMUSG00000000384	14165	51.38
ENSMUSG00000000385	49670	46.45
ENSMUSG00000000386	19518	46.16
ENSMUSG00000000392	78794	38.39
ENSMUSG00000000394	10614	37.47
ENSMUSG00000000399	29215	45.75
ENSMUSG00000000402	65417	42.54
ENSMUSG00000000409	28226	48.13
ENSMUSG00000000411	3288	52.81
ENSMUSG00000000416	157194	40.7
ENSMUSG00000000420	86993	40.82
ENSMUSG00000000435	5309	43.32
ENSMUSG00000000439	22962	47.04
ENSMUSG00000000440	131432	39.51
ENSMUSG00000000441	64931	42.75
ENSMUSG00000000486	20743	48.19
ENSMUSG00000000489	21826	55.41
ENSMUSG00000000530	21079	52.3
ENSMUSG00000000531	10561	55.66
ENSMUSG00000000532	44025	49.44
ENSMUSG00000000538	134955	46.54
ENSMUSG00000000544	39014	48.91
ENSMUSG00000000552	28482	50.68
ENSMUSG00000000555	26853	50.81
ENSMUSG00000000560	145892	36.51
ENSMUSG00000000561	15509	44.83
ENSMUSG00000000562	41797	45.35
ENSMUSG00000000563	21506	40.23
ENSMUSG00000000567	9671	50.95
ENSMUSG00000000568	30357	38.55
ENSMUSG00000000579	11880	47.56
ENSMUSG00000000581	15592	37.25
ENSMUSG00000000594	19041	48.96
ENSMUSG00000000600	64233	36.51
ENSMUSG00000000605	21773	46.19
ENSMUSG00000000606	11748	34.16
ENSMUSG00000000617	20944	50.24
ENSMUSG00000000627	33021	47.76
ENSMUSG00000000628	55398	49.08
ENSMUSG00000000631	117598	51.78
ENSMUSG00000000632	54027	51.55
ENSMUSG00000000673	16656	50.87
ENSMUSG00000000682	13821	49.53
ENSMUSG00000000686	26521	43.32
ENSMUSG00000000690	11057	52.14
ENSMUSG00000000693	22585	49.9
ENSMUSG00000000701	5824	49.56
ENSMUSG00000000706	12842	45.26
ENSMUSG00000000708	110726	43.46
ENSMUSG00000000711	22241	44.44
ENSMUSG00000000724	8262	42.74
ENSMUSG00000000730	24663	50.17
ENSMUSG00000000731	17413	52.02
ENSMUSG00000000732	12921	51.33
ENSMUSG00000000738	39006	48.71
ENSMUSG00000000739	17232	49.81
ENSMUSG00000000740	5246	54.34
ENSMUSG00000000743	11759	53.56
ENSMUSG00000000751	55736	44.89
ENSMUSG00000000753	15291	49.44
ENSMUSG00000000759	66539	46.98
ENSMUSG00000000766	287729	40.52
ENSMUSG00000000776	6879	51.76
ENSMUSG00000000782	33268	52.81
ENSMUSG00000000787	18359	39.75
ENSMUSG00000000791	15848	52.9
ENSMUSG00000000792	12796	54.85
ENSMUSG00000000794	165419	48.56
ENSMUSG00000000804	163399	39.1
ENSMUSG00000000805	10224	52.03
ENSMUSG00000000811	34377	47.25
ENSMUSG00000000817	9743	41.71
ENSMUSG00000000823	17510	53.58
ENSMUSG00000000826	41601	42.98
ENSMUSG00000000827	25806	44.51
ENSMUSG00000000838	48388	35.06
ENSMUSG00000000861	109242	45.53
ENSMUSG00000000869	16914	47.09
ENSMUSG00000000876	21064	47.38
ENSMUSG00000000881	56532	46.89
ENSMUSG00000000884	72075	47.71
ENSMUSG00000000889	20659	51.66
ENSMUSG00000000901	11852	53.97
ENSMUSG00000000902	32778	48.04
ENSMUSG00000000903	7459	47.86
ENSMUSG00000000915	39299	54.59
ENSMUSG00000000916	11169	51.36
ENSMUSG00000000934	23668	52.57
ENSMUSG00000000938	12927	50.46
ENSMUSG00000000942	3676	57.27
ENSMUSG00000000948	36131	35.42
ENSMUSG00000000957	13952	53.71
ENSMUSG00000000958	51630	47.12
ENSMUSG00000000959	12647	47.95
ENSMUSG00000000976	36477	45.93
ENSMUSG00000000982	2277	46.3
ENSMUSG00000000983	3553	45.84
ENSMUSG00000001014	2065	59.71
ENSMUSG00000001016	20833	42.32
ENSMUSG00000001017	14179	42.19
ENSMUSG00000001018	5297	45.35
ENSMUSG00000001020	2858	48.53
ENSMUSG00000001021	47784	45.86
ENSMUSG00000001023	3689	50.12
ENSMUSG00000001025	12666	47.42
ENSMUSG00000001027	41737	51.42
ENSMUSG00000001029	12323	48.84
ENSMUSG00000001034	9988	54.78
ENSMUSG00000001036	67666	45.69
ENSMUSG00000001039	9380	48.78
ENSMUSG00000001052	84814	44.2
ENSMUSG00000001053	10507	56.75
ENSMUSG00000001054	14386	50.38
ENSMUSG00000001056	5125	50.38
ENSMUSG00000001062	17145	54.85
ENSMUSG00000001065	21080	51.54
ENSMUSG00000001076	4005	52.97
ENSMUSG00000001082	6464	57.97
ENSMUSG00000001089	93131	40.42
ENSMUSG00000001095	27542	49.99
ENSMUSG00000001098	20980	54.26
ENSMUSG00000001100	14326	48.81
ENSMUSG00000001103	2993	53.39
ENSMUSG00000001105	6901	47.18
ENSMUSG00000001119	21756	54.16
ENSMUSG00000001120	202963	45.07
ENSMUSG00000001123	24109	48.47
ENSMUSG00000001127	69246	42.71
ENSMUSG00000001128	7837	47.82
ENSMUSG00000001131	5457	46.96
ENSMUSG00000001134	21934	42.12
ENSMUSG00000001138	22790	52.74
ENSMUSG00000001143	32759	47.29
ENSMUSG00000001150	53267	45.96
ENSMUSG00000001151	101188	47.63
ENSMUSG00000001155	17882	50.1
ENSMUSG00000001156	26781	48.43
ENSMUSG00000001157	45438	43.35
ENSMUSG00000001158	11138	43.33
ENSMUSG00000001166	14725	50.26
ENSMUSG00000001168	13788	48.44
ENSMUSG00000001173	62967	42
ENSMUSG00000001175	15069	47.94
ENSMUSG00000001211	90888	50.47
ENSMUSG00000001225	89415	42.02
ENSMUSG00000001227	21235	56.44
ENSMUSG00000001228	24424	52.44
ENSMUSG00000001229	35716	54.04
ENSMUSG00000001240	16819	48.62
ENSMUSG00000001247	17861	50.38
ENSMUSG00000001248	30872	52.22
ENSMUSG00000001249	20666	51.94
ENSMUSG00000001260	99439	35.86
ENSMUSG00000001270	4461	61.86
ENSMUSG00000001280	38586	42.07
ENSMUSG00000001281	18683	49.53
ENSMUSG00000001285	9253	49.42
ENSMUSG00000001288	26688	53.53
ENSMUSG00000001289	7151	47.43
ENSMUSG00000001300	48132	45.21
ENSMUSG00000001305	31619	45.2
ENSMUSG00000001313	8844	54.98
ENSMUSG00000001323	24149	43.41
ENSMUSG00000001333	23804	47.2
ENSMUSG00000001334	10357	53.06
ENSMUSG00000001348	10627	52.34
ENSMUSG00000001349	12717	51.95
ENSMUSG00000001366	30669	44
ENSMUSG00000001376	116005	39.55
ENSMUSG00000001380	18662	44.11
ENSMUSG00000001383	7994	45.54
ENSMUSG00000001403	11524	50.81
ENSMUSG00000001415	33034	49.12
ENSMUSG00000001416	31021	43.27
ENSMUSG00000001418	12581	51.68
ENSMUSG00000001419	35699	52.66
ENSMUSG00000001420	10405	51.49
ENSMUSG00000001424	469780	43.79
ENSMUSG00000001435	121391	50.81
ENSMUSG00000001436	33405	52.38
ENSMUSG00000001440	34757	44.11
ENSMUSG00000001441	82002	41.18
ENSMUSG00000001444	19748	48.47
ENSMUSG00000001445	9361	48.68
ENSMUSG00000001467	28016	42.39
ENSMUSG00000001472	34114	50.11
ENSMUSG00000001473	13788	48.35
ENSMUSG00000001482	24272	49.74
ENSMUSG00000001493	19092	51.14
ENSMUSG00000001494	6623	55.62
ENSMUSG00000001496	7792	58.61
ENSMUSG00000001497	26111	43.49
ENSMUSG00000001504	8660	54.25
ENSMUSG00000001506	23381	53.92
ENSMUSG00000001507	38037	50.82
ENSMUSG00000001508	15271	50.93
ENSMUSG00000001510	7784	55.54
ENSMUSG00000001517	18677	50.28
ENSMUSG00000001518	20556	47.25
ENSMUSG00000001520	20733	50.09
ENSMUSG00000001521	41394	46.91
ENSMUSG00000001524	9322	52.46
ENSMUSG00000001525	7712	51.62
ENSMUSG00000001542	68519	39.95
ENSMUSG00000001552	35241	52.25
ENSMUSG00000001555	12062	52.02
ENSMUSG00000001558	17266	46.03
ENSMUSG00000001566	7686	54.09
ENSMUSG00000001569	32411	44.93
ENSMUSG00000001576	101898	50.43
ENSMUSG00000001583	11054	52.86
ENSMUSG00000001588	18850	49.9
ENSMUSG00000001604	28569	49.96
ENSMUSG00000001622	11238	34.15
ENSMUSG00000001627	52795	41.54
ENSMUSG00000001630	58388	42.34
ENSMUSG00000001632	24437	48.33
ENSMUSG00000001642	23428	49.81
ENSMUSG00000001655	10172	47.74
ENSMUSG00000001656	5302	57.1
ENSMUSG00000001657	6336	50.16
ENSMUSG00000001661	16032	49.24
ENSMUSG00000001663	16299	46.62
ENSMUSG00000001665	9926	49.12
ENSMUSG00000001666	2957	53.32
ENSMUSG00000001670	11771	45.34
ENSMUSG00000001672	17573	48.8
ENSMUSG00000001674	16637	46.3
ENSMUSG00000001687	56252	42.33
ENSMUSG00000001700	74265	44.17
ENSMUSG00000001707	14362	44.03
ENSMUSG00000001729	25161	57.7
ENSMUSG00000001739	11366	51.6
ENSMUSG00000001741	110743	45.12
ENSMUSG00000001750	15553	53.89
ENSMUSG00000001751	10318	53.06
ENSMUSG00000001755	6921	55.44
ENSMUSG00000001761	31483	48.36
ENSMUSG00000001763	29532	48.29
ENSMUSG00000001767	21379	43.23
ENSMUSG00000001768	108281	45.27
ENSMUSG00000001773	59637	35.36
ENSMUSG00000001774	23938	38.39
ENSMUSG00000001783	21801	43.68
ENSMUSG00000001785	19995	44.86
ENSMUSG00000001786	36081	42.16
ENSMUSG00000001794	14272	50.01
ENSMUSG00000001802	20042	54.68
ENSMUSG00000001804	39124	40.54
ENSMUSG00000001815	10757	50.78
ENSMUSG00000001819	5772	46.17
ENSMUSG00000001823	5226	54.21
ENSMUSG00000001827	14754	46.35
ENSMUSG00000001829	134390	46.34
ENSMUSG00000001833	58670	35.94
ENSMUSG00000001844	15631	49.8
ENSMUSG00000001847	28898	47.12
ENSMUSG00000001855	89198	45.88
ENSMUSG00000001864	27335	52.11
ENSMUSG00000001865	28078	37.4
ENSMUSG00000001870	397424	42.66
ENSMUSG00000001891	53132	39.6
ENSMUSG00000001901	29974	50.92
ENSMUSG00000001909	19807	51.34
ENSMUSG00000001910	21679	50.62
ENSMUSG00000001911	107819	53.14
ENSMUSG00000001918	21090	50.63
ENSMUSG00000001924	29672	46.94
ENSMUSG00000001930	155969	48.13
ENSMUSG00000001942	37904	42.5
ENSMUSG00000001943	6120	48.76
ENSMUSG00000001946	13108	48.41
ENSMUSG00000001948	11114	38.2
ENSMUSG00000001962	9404	48.98
ENSMUSG00000001964	9378	46.56
ENSMUSG00000001983	8934	46.69
ENSMUSG00000001985	232446	50.31
ENSMUSG00000001986	287606	38.76
ENSMUSG00000001988	23150	52.62
ENSMUSG00000001995	81012	49.76
ENSMUSG00000001998	69002	41.28
ENSMUSG00000001999	28865	44
ENSMUSG00000002006	35580	45.8
ENSMUSG00000002007	7304	53.68
ENSMUSG00000002010	10635	47.41
ENSMUSG00000002012	6094	57.25
ENSMUSG00000002014	6898	50.96
ENSMUSG00000002015	31216	43.49
ENSMUSG00000002017	18339	42.35
ENSMUSG00000002020	101504	49.92
ENSMUSG00000002028	94611	45.68
ENSMUSG00000002031	30464	45.14
ENSMUSG00000002032	8433	52.44
ENSMUSG00000002033	11929	44.36
ENSMUSG00000002043	9067	52.91
ENSMUSG00000002052	46336	46.39
ENSMUSG00000002055	26552	45.73
ENSMUSG00000002057	32195	52.41
ENSMUSG00000002058	8130	56.47
ENSMUSG00000002059	6148	56.64
ENSMUSG00000002064	11265	44.57
ENSMUSG00000002068	12212	47.45
ENSMUSG00000002076	92712	44.55
ENSMUSG00000002083	10597	57.71
ENSMUSG00000002100	22535	53.08
ENSMUSG00000002102	14967	51.95
ENSMUSG00000002103	16399	45.84
ENSMUSG00000002104	11911	50.3
ENSMUSG00000002105	13495	53.74
ENSMUSG00000002107	995753	40.13
ENSMUSG00000002108	21288	46.51
ENSMUSG00000002109	28146	42.01
ENSMUSG00000002111	36061	49.89
ENSMUSG00000002129	28338	46.56
ENSMUSG00000002147	22373	50.23
ENSMUSG00000002190	42710	44.3
ENSMUSG00000002204	16640	47.77
ENSMUSG00000002205	32200	49.01
ENSMUSG00000002210	26861	52.74
ENSMUSG00000002221	61882	46.06
ENSMUSG00000002222	58786	40.99
ENSMUSG00000002227	29334	48.62
ENSMUSG00000002228	6776	55.89
ENSMUSG00000002233	7702	55.27
ENSMUSG00000002240	22038	37.71
ENSMUSG00000002249	23532	56.35
ENSMUSG00000002250	73346	52.87
ENSMUSG00000002257	23354	50.73
ENSMUSG00000002265	39853	44.95
ENSMUSG00000002266	28822	43.87
ENSMUSG00000002274	3999	59.39
ENSMUSG00000002279	97123	51.65
ENSMUSG00000002280	13382	54.7
ENSMUSG00000002289	11111	48.77
ENSMUSG00000002297	34471	39.01
ENSMUSG00000002307	9233	53.63
ENSMUSG00000002308	9275	49.84
ENSMUSG00000002319	17857	52.77
ENSMUSG00000002320	11721	48.75
ENSMUSG00000002324	10106	52.05
ENSMUSG00000002325	11845	50.48
ENSMUSG00000002326	8058	43.17
ENSMUSG00000002329	4362	48.52
ENSMUSG00000002332	9430	49.3
ENSMUSG00000002341	34983	50.75
ENSMUSG00000002342	14998	51.57
ENSMUSG00000002343	17556	49.74
ENSMUSG00000002345	30732	52.1
ENSMUSG00000002346	33961	50.79
ENSMUSG00000002365	92116	47.21
ENSMUSG00000002372	41055	51.66
ENSMUSG00000002379	9147	56.24
ENSMUSG00000002384	30814	51.54
ENSMUSG00000002393	10820	59.82
ENSMUSG00000002395	5087	54.63
ENSMUSG00000002396	15196	56.76
ENSMUSG00000002409	10520	58.19
ENSMUSG00000002413	136088	38.7
ENSMUSG00000002416	16436	44.57
ENSMUSG00000002428	66610	38.41
ENSMUSG00000002455	67651	44
ENSMUSG00000002458	7788	53.91
ENSMUSG00000002459	164948	41.08
ENSMUSG00000002475	64322	41.05
ENSMUSG00000002477	11271	42.05
ENSMUSG00000002486	21964	53.74
ENSMUSG00000002489	202880	47.61
ENSMUSG00000002496	42710	52.45
ENSMUSG00000002500	9966	50.56
ENSMUSG00000002504	13280	56.16
ENSMUSG00000002524	12674	54.38
ENSMUSG00000002546	26037	51.59
ENSMUSG00000002550	7908	55.8
ENSMUSG00000002565	77458	40.33
ENSMUSG00000002578	21143	49.83
ENSMUSG00000002580	2030	54.21
ENSMUSG00000002588	28754	43.3
ENSMUSG00000002602	36465	50.35
ENSMUSG00000002603	20633	51.08
ENSMUSG00000002608	11921	53.23
ENSMUSG00000002617	23865	36.73
ENSMUSG00000002625	31231	45.85
ENSMUSG00000002633	13288	55.67
ENSMUSG00000002635	13477	46.76
ENSMUSG00000002658	9600	51.22
ENSMUSG00000002660	7314	50.8
ENSMUSG00000002661	3012	54.89
ENSMUSG00000002664	1035	58.36
ENSMUSG00000002668	14974	50.57
ENSMUSG00000002679	22898	40.58
ENSMUSG00000002688	311770	39.23
ENSMUSG00000002699	49834	44.94
ENSMUSG00000002718	45622	42.76
ENSMUSG00000002728	18031	42.17
ENSMUSG00000002731	20145	42.86
ENSMUSG00000002732	11557	40.84
ENSMUSG00000002733	24673	44.29
ENSMUSG00000002741	15071	47.93
ENSMUSG00000002748	72532	43.16
ENSMUSG00000002763	17874	53.43
ENSMUSG00000002767	5080	49.68
ENSMUSG00000002768	2808	54.44
ENSMUSG00000002769	4710	53.24
ENSMUSG00000002771	40060	51.36
ENSMUSG00000002778	12759	49.25
ENSMUSG00000002781	25975	50.07
ENSMUSG00000002791	34071	50.58
ENSMUSG00000002797	14807	43.86
ENSMUSG00000002799	24959	59.36
ENSMUSG00000002803	4536	59
ENSMUSG00000002804	8178	54.97
ENSMUSG00000002808	30507	40.54
ENSMUSG00000002812	18179	54.04
ENSMUSG00000002814	41906	45.35
ENSMUSG00000002820	11610	51.59
ENSMUSG00000002825	9759	51.12
ENSMUSG00000002831	14989	55.19
ENSMUSG00000002833	23190	49.88
ENSMUSG00000002835	30918	48.05
ENSMUSG00000002844	8873	48.96
ENSMUSG00000002845	37558	42.06
ENSMUSG00000002846	26100	45.02
ENSMUSG00000002847	38998	45.28
ENSMUSG00000002870	18676	51.93
ENSMUSG00000002871	13013	55.51
ENSMUSG00000002881	47485	41.06
ENSMUSG00000002885	21832	50.98
ENSMUSG00000002897	28282	49.53
ENSMUSG00000002900	74327	45.81
ENSMUSG00000002908	19013	54.42
ENSMUSG00000002910	6894	55.02
ENSMUSG00000002930	16930	43.81
ENSMUSG00000002944	110701	37.16
ENSMUSG00000002948	14516	54.41
ENSMUSG00000002949	19846	48.06
ENSMUSG00000002957	76501	47.67
ENSMUSG00000002963	9137	55.55
ENSMUSG00000002968	18244	54.75
ENSMUSG00000002980	18084	53.87
ENSMUSG00000002981	37592	50.59
ENSMUSG00000002983	27106	49.94
ENSMUSG00000002984	18364	51.8
ENSMUSG00000002985	5059	54.64
ENSMUSG00000002992	7294	53.83
ENSMUSG00000002996	30448	40.21
ENSMUSG00000002997	106472	42.71
ENSMUSG00000003031	9664	43.81
ENSMUSG00000003032	8372	52.76
ENSMUSG00000003033	20517	51.96
ENSMUSG00000003037	27382	49.27
ENSMUSG00000003038	6972	52.59
ENSMUSG00000003039	5944	49.91
ENSMUSG00000003051	7210	54.75
ENSMUSG00000003053	64369	37.35
ENSMUSG00000003062	43699	42.85
ENSMUSG00000003068	19459	55.15
ENSMUSG00000003070	12659	55.51
ENSMUSG00000003072	9114	55.93
ENSMUSG00000003099	26420	52.91
ENSMUSG00000003119	87175	39.95
ENSMUSG00000003123	23701	52.42
ENSMUSG00000003131	23801	41.94
ENSMUSG00000003134	112502	47.3
ENSMUSG00000003135	15405	45.97
ENSMUSG00000003153	81076	45.39
ENSMUSG00000003154	30735	49.31
ENSMUSG00000003161	28153	42.84
ENSMUSG00000003166	61301	46.44
ENSMUSG00000003184	8387	53.76
ENSMUSG00000003190	9466	53.16
ENSMUSG00000003198	8836	39.37
ENSMUSG00000003199	13384	51.53
ENSMUSG00000003200	21956	53.59
ENSMUSG00000003206	5568	51.38
ENSMUSG00000003208	10073	52.98
ENSMUSG00000003226	56780	37.23
ENSMUSG00000003227	78502	47.66
ENSMUSG00000003228	205969	43.59
ENSMUSG00000003233	20437	51.95
ENSMUSG00000003234	16359	47.96
ENSMUSG00000003235	14347	48.31
ENSMUSG00000003269	11194	55.3
ENSMUSG00000003271	31459	50.12
ENSMUSG00000003273	6718	55.6
ENSMUSG00000003279	869332	41.58
ENSMUSG00000003282	45914	39.19
ENSMUSG00000003283	45065	47.81
ENSMUSG00000003299	7383	51.43
ENSMUSG00000003308	14266	53.41
ENSMUSG00000003309	18614	48.52
ENSMUSG00000003316	111885	41.82
ENSMUSG00000003341	23950	54.32
ENSMUSG00000003344	18040	55.69
ENSMUSG00000003345	20502	55.72
ENSMUSG00000003346	8234	57.79
ENSMUSG00000003348	19208	51.63
ENSMUSG00000003352	15430	55.78
ENSMUSG00000003354	17009	48.13
ENSMUSG00000003355	4556	52.59
ENSMUSG00000003360	23207	50.34
ENSMUSG00000003363	24142	49.75
ENSMUSG00000003378	66333	51.49
ENSMUSG00000003379	6273	52.27
ENSMUSG00000003380	3877	55.88
ENSMUSG00000003382	25023	47.97
ENSMUSG00000003402	13197	53.88
ENSMUSG00000003410	42045	50.42
ENSMUSG00000003411	67785	45.34
ENSMUSG00000003418	150707	40.77
ENSMUSG00000003420	12567	50.33
ENSMUSG00000003421	18994	50.15
ENSMUSG00000003423	7690	52.92
ENSMUSG00000003429	2603	54.5
ENSMUSG00000003435	27364	49.71
ENSMUSG00000003436	11535	53.73
ENSMUSG00000003437	9875	48.59
ENSMUSG00000003438	9240	53.97
ENSMUSG00000003444	7843	51.27
ENSMUSG00000003452	168190	37.2
ENSMUSG00000003458	20757	46.95
ENSMUSG00000003464	13553	46.76
ENSMUSG00000003469	14266	53.02
ENSMUSG00000003476	48079	51.29
ENSMUSG00000003477	6017	51.24
ENSMUSG00000003484	22999	46.81
ENSMUSG00000003500	19224	53.52
ENSMUSG00000003505	12819	47.17
ENSMUSG00000003518	20552	50.03
ENSMUSG00000003526	33307	51.19
ENSMUSG00000003527	13456	50.86
ENSMUSG00000003528	5184	59.26
ENSMUSG00000003531	21757	47.41
ENSMUSG00000003534	27828	53
ENSMUSG00000003541	2370	54.52
ENSMUSG00000003545	11106	54.81
ENSMUSG00000003546	16835	51.48
ENSMUSG00000003549	14857	52.67
ENSMUSG00000003555	7975	50.31
ENSMUSG00000003559	35403	45.19
ENSMUSG00000003573	14974	53.45
ENSMUSG00000003575	68406	53.17
ENSMUSG00000003581	8202	54.46
ENSMUSG00000003585	29881	50.96
ENSMUSG00000003604	146610	42.31
ENSMUSG00000003617	61657	39.46
ENSMUSG00000003623	36747	40.8
ENSMUSG00000003644	44765	52.31
ENSMUSG00000003657	27097	49.17
ENSMUSG00000003660	39884	45.13
ENSMUSG00000003662	10075	44.64
ENSMUSG00000003665	13950	44.84
ENSMUSG00000003680	19779	48.71
ENSMUSG00000003721	31709	42.61
ENSMUSG00000003731	35516	45.62
ENSMUSG00000003746	180066	39.87
ENSMUSG00000003752	25133	49.05
ENSMUSG00000003762	28102	48.84
ENSMUSG00000003778	36619	42.14
ENSMUSG00000003779	12437	46.89
ENSMUSG00000003808	16806	48.51
ENSMUSG00000003809	10282	48.67
ENSMUSG00000003810	165066	40.52
ENSMUSG00000003812	19744	52.04
ENSMUSG00000003813	9223	52.22
ENSMUSG00000003814	7964	48.79
ENSMUSG00000003824	18078	45.12
ENSMUSG00000003847	104425	38.09
ENSMUSG00000003848	16051	48.72
ENSMUSG00000003849	16534	46.88
ENSMUSG00000003863	33185	51.64
ENSMUSG00000003865	26567	49.64
ENSMUSG00000003868	15139	53.78
ENSMUSG00000003872	4135	57.09
ENSMUSG00000003873	6072	51.58
ENSMUSG00000003882	26923	37.73
ENSMUSG00000003923	17254	43.75
ENSMUSG00000003929	36175	38.89
ENSMUSG00000003934	9296	56
ENSMUSG00000003948	96291	43.61
ENSMUSG00000003949	61040	46.73
ENSMUSG00000003955	28306	45.69
ENSMUSG00000003970	3109	53.11
ENSMUSG00000003974	242678	38.58
ENSMUSG00000003992	251107	39.64
ENSMUSG00000004018	89113	39.12
ENSMUSG00000004031	119824	43.28
ENSMUSG00000004032	4143	49.37
ENSMUSG00000004035	7084	50.53
ENSMUSG00000004038	6898	49.61
ENSMUSG00000004040	63969	46.51
ENSMUSG00000004043	32951	49.86
ENSMUSG00000004044	17741	52.87
ENSMUSG00000004054	17532	55.05
ENSMUSG00000004056	56405	50.71
ENSMUSG00000004069	71618	48.34
ENSMUSG00000004070	42598	43.62
ENSMUSG00000004071	45690	44.69
ENSMUSG00000004085	167148	43.11
ENSMUSG00000004096	11071	41.46
ENSMUSG00000004098	51826	51.21
ENSMUSG00000004099	58986	50.27
ENSMUSG00000004100	6507	55.97
ENSMUSG00000004105	37934	50.79
ENSMUSG00000004110	518583	43.34
ENSMUSG00000004113	169207	46.66
ENSMUSG00000004127	24349	41.35
ENSMUSG00000004151	94724	38.51
ENSMUSG00000004187	10698	53.65
ENSMUSG00000004207	27714	50.99
ENSMUSG00000004221	68674	43.62
ENSMUSG00000004231	87235	49.47
ENSMUSG00000004233	104064	42.31
ENSMUSG00000004263	19065	53.11
ENSMUSG00000004264	8332	53.26
ENSMUSG00000004266	20809	50.61
ENSMUSG00000004267	14325	52.61
ENSMUSG00000004268	9497	46.38
ENSMUSG00000004270	44659	47.24
ENSMUSG00000004285	3857	49.98
ENSMUSG00000004296	15937	43.85
ENSMUSG00000004317	177000	40.82
ENSMUSG00000004319	89982	37.97
ENSMUSG00000004328	37633	49.79
ENSMUSG00000004341	8683	45.11
ENSMUSG00000004344	7976	44.49
ENSMUSG00000004347	512102	40.4
ENSMUSG00000004356	89038	43.7
ENSMUSG00000004359	14084	43.28
ENSMUSG00000004360	24780	37.14
ENSMUSG00000004364	80430	35.79
ENSMUSG00000004366	1862	51.34
ENSMUSG00000004371	11814	53.62
ENSMUSG00000004383	546824	41.55
ENSMUSG00000004393	11386	50.47
ENSMUSG00000004394	6679	47.29
ENSMUSG00000004415	149626	49.72
ENSMUSG00000004446	28473	49.71
ENSMUSG00000004451	39419	48.16
ENSMUSG00000004455	20419	48.96
ENSMUSG00000004460	25025	44.76
ENSMUSG00000004462	47056	43.23
ENSMUSG00000004473	6167	53.84
ENSMUSG00000004500	13174	50.58
ENSMUSG00000004508	233357	40.36
ENSMUSG00000004530	75986	49.8
ENSMUSG00000004535	59660	38.65
ENSMUSG00000004540	9770	47.46
ENSMUSG00000004542	12158	48.38
ENSMUSG00000004552	40369	46.74
ENSMUSG00000004558	10374	51.69
ENSMUSG00000004561	12167	47.32
ENSMUSG00000004562	31898	51.09
ENSMUSG00000004565	33379	48.2
ENSMUSG00000004567	18035	49.43
ENSMUSG00000004568	71990	47.89
ENSMUSG00000004591	103979	36.64
ENSMUSG00000004609	22783	44.28
ENSMUSG00000004610	14856	49.83
ENSMUSG00000004612	2054	54.46
ENSMUSG00000004613	6787	47.45
ENSMUSG00000004626	16848	51.32
ENSMUSG00000004630	4002	51.26
ENSMUSG00000004631	75943	39.94
ENSMUSG00000004633	268001	45.02
