#	"-B"
Geneid	Length
ENSMUSG00000103819.1	518
ENSMUSG00000102871.1	3259
ENSMUSG00000101571.2	960
ENSMUSG00000104428.1	636
ENSMUSG00000102272.1	1170
ENSMUSG00000065625.1	103
ENSMUSG00000103411.1	1406
ENSMUSG00000061024.8	2048
ENSMUSG00000025911.12	3780
ENSMUSG00000079671.6	4910
ENSMUSG00000081441.3	1102
ENSMUSG00000067879.3	3256
ENSMUSG00000099827.1	1067
ENSMUSG00000025912.14	5402
ENSMUSG00000045210.8	9749
ENSMUSG00000097893.5	3051
ENSMUSG00000025915.12	14311
ENSMUSG00000046334.4	357
ENSMUSG00000088916.1	105
ENSMUSG00000046101.14	5916
ENSMUSG00000098234.5	1146
ENSMUSG00000093178.1	87
ENSMUSG00000099032.2	4193
ENSMUSG00000104025.1	1374
ENSMUSG00000025916.8	1523
ENSMUSG00000087199.1	656
ENSMUSG00000095780.1	104
ENSMUSG00000025917.7	3766
ENSMUSG00000056763.14	17553
ENSMUSG00000102356.1	920
ENSMUSG00000067851.9	11318
ENSMUSG00000088153.1	240
ENSMUSG00000102556.1	1722
ENSMUSG00000042501.10	6840
ENSMUSG00000103810.1	2745
ENSMUSG00000083422.1	1456
ENSMUSG00000094979.1	107
ENSMUSG00000081417.1	492
ENSMUSG00000103448.1	1922
ENSMUSG00000100212.1	1242
ENSMUSG00000100648.1	759
ENSMUSG00000088585.1	91
ENSMUSG00000048960.11	16609
ENSMUSG00000077318.1	128
ENSMUSG00000101827.1	609
ENSMUSG00000103494.1	3039
ENSMUSG00000057715.11	9183
ENSMUSG00000103825.1	2471
ENSMUSG00000099845.1	262
ENSMUSG00000103561.1	2144
ENSMUSG00000101610.1	873
ENSMUSG00000093864.1	107
ENSMUSG00000098555.1	121
ENSMUSG00000097628.1	807
ENSMUSG00000098163.1	687
ENSMUSG00000097171.1	3200
ENSMUSG00000101314.1	853
ENSMUSG00000016918.13	11294
ENSMUSG00000025938.14	13137
ENSMUSG00000104518.1	551
ENSMUSG00000069620.6	321
ENSMUSG00000099498.1	288
ENSMUSG00000042414.7	2564
ENSMUSG00000005886.12	15642
ENSMUSG00000103506.1	2253
ENSMUSG00000103495.1	1626
ENSMUSG00000099183.1	82
ENSMUSG00000102639.1	695
ENSMUSG00000104170.1	1872
ENSMUSG00000087782.1	112
ENSMUSG00000103085.1	4642
ENSMUSG00000102664.1	2248
ENSMUSG00000101476.1	681
ENSMUSG00000101171.1	644
ENSMUSG00000025935.8	3162
ENSMUSG00000025937.6	4566
ENSMUSG00000102982.1	1266
ENSMUSG00000067813.3	1926
ENSMUSG00000077368.1	131
ENSMUSG00000097711.1	997
ENSMUSG00000102166.1	2249
ENSMUSG00000089358.1	308
ENSMUSG00000104209.1	3605
ENSMUSG00000025932.12	7808
ENSMUSG00000095853.1	100
ENSMUSG00000102588.1	439
ENSMUSG00000054493.2	3566
ENSMUSG00000025930.6	2546
ENSMUSG00000103492.1	4321
ENSMUSG00000081201.1	288
ENSMUSG00000082193.1	894
ENSMUSG00000032769.4	4263
ENSMUSG00000088159.1	120
ENSMUSG00000073737.3	996
ENSMUSG00000092083.4	15165
ENSMUSG00000102937.1	1533
ENSMUSG00000104149.1	2089
ENSMUSG00000088829.1	112
ENSMUSG00000077377.1	132
ENSMUSG00000101652.1	251
ENSMUSG00000100814.1	100
ENSMUSG00000025925.12	4608
ENSMUSG00000104379.1	3169
ENSMUSG00000032719.4	2748
ENSMUSG00000088943.1	303
ENSMUSG00000100652.1	553
ENSMUSG00000067795.11	2063
ENSMUSG00000043716.11	2687
ENSMUSG00000025921.7	4160
ENSMUSG00000104165.1	2321
ENSMUSG00000100868.1	1515
ENSMUSG00000025920.17	6747
ENSMUSG00000089982.5	1003
ENSMUSG00000025939.15	4930
ENSMUSG00000102457.1	2980
ENSMUSG00000079658.7	3026
ENSMUSG00000097744.1	2788
ENSMUSG00000100959.1	683
ENSMUSG00000025940.6	1820
ENSMUSG00000025779.8	1021
ENSMUSG00000100093.1	419
ENSMUSG00000091020.3	1860
ENSMUSG00000101640.1	176
ENSMUSG00000104133.1	827
ENSMUSG00000042686.5	4998
ENSMUSG00000100110.1	359
ENSMUSG00000025777.8	7731
ENSMUSG00000099899.1	1011
ENSMUSG00000100272.1	379
ENSMUSG00000100398.1	472
ENSMUSG00000101589.1	2870
ENSMUSG00000102048.1	486
ENSMUSG00000089534.1	111
ENSMUSG00000067780.3	6923
ENSMUSG00000100053.1	4218
ENSMUSG00000085125.5	8345
ENSMUSG00000025776.11	4515
ENSMUSG00000099895.1	629
ENSMUSG00000100554.1	1399
ENSMUSG00000099473.1	586
ENSMUSG00000099591.1	2557
ENSMUSG00000102001.1	199
ENSMUSG00000101717.1	741
ENSMUSG00000025774.12	2737
ENSMUSG00000070977.4	219
ENSMUSG00000073735.1	258
ENSMUSG00000067773.6	610
ENSMUSG00000101685.1	985
ENSMUSG00000101738.1	580
ENSMUSG00000101306.1	909
ENSMUSG00000088800.1	72
ENSMUSG00000101644.1	112
ENSMUSG00000099433.1	279
ENSMUSG00000089787.2	918
ENSMUSG00000042596.7	1954
ENSMUSG00000100720.1	545
ENSMUSG00000025927.11	6338
ENSMUSG00000100538.1	202
ENSMUSG00000101117.1	472
ENSMUSG00000100204.1	2246
ENSMUSG00000084668.1	65
ENSMUSG00000102597.1	2499
ENSMUSG00000043760.14	14310
ENSMUSG00000104095.1	3479
ENSMUSG00000089914.2	788
ENSMUSG00000090142.2	553
ENSMUSG00000070175.1	102
ENSMUSG00000065559.1	73
ENSMUSG00000099906.1	5276
ENSMUSG00000065480.1	119
ENSMUSG00000025929.4	1171
ENSMUSG00000041872.7	2022
ENSMUSG00000041859.10	3752
ENSMUSG00000099714.1	1186
ENSMUSG00000102121.1	833
ENSMUSG00000088858.1	132
ENSMUSG00000097934.1	1120
ENSMUSG00000025931.13	5488
ENSMUSG00000077314.1	131
ENSMUSG00000100929.1	858
ENSMUSG00000041809.5	2208
ENSMUSG00000041779.5	6661
ENSMUSG00000099971.1	546
ENSMUSG00000100819.1	571
ENSMUSG00000025933.13	1351
ENSMUSG00000102633.1	2100
ENSMUSG00000025934.13	4344
ENSMUSG00000099343.1	633
ENSMUSG00000096375.2	366
ENSMUSG00000025936.13	1365
ENSMUSG00000093963.1	439
ENSMUSG00000067750.3	1987
ENSMUSG00000086194.1	371
ENSMUSG00000094436.1	228
ENSMUSG00000041722.7	1946
ENSMUSG00000085507.1	350
ENSMUSG00000094926.1	228
ENSMUSG00000085079.3	2236
ENSMUSG00000085679.2	196
ENSMUSG00000028033.14	7689
ENSMUSG00000104138.1	2327
ENSMUSG00000082935.3	1124
ENSMUSG00000103748.1	1567
ENSMUSG00000097109.1	2095
ENSMUSG00000099692.1	552
ENSMUSG00000100418.1	447
ENSMUSG00000041670.13	7080
ENSMUSG00000097642.1	802
ENSMUSG00000101468.1	921
ENSMUSG00000101227.1	2078
ENSMUSG00000073730.2	1781
ENSMUSG00000089553.1	121
ENSMUSG00000102766.1	723
ENSMUSG00000065405.3	71
ENSMUSG00000097970.1	399
ENSMUSG00000065567.1	84
ENSMUSG00000100775.1	347
ENSMUSG00000101226.1	644
ENSMUSG00000026158.9	8109
ENSMUSG00000097920.1	989
ENSMUSG00000099503.1	778
ENSMUSG00000026156.8	6203
ENSMUSG00000026155.11	3575
ENSMUSG00000026154.4	874
ENSMUSG00000102495.1	390
ENSMUSG00000026153.13	7773
ENSMUSG00000102398.1	2800
ENSMUSG00000097670.1	867
ENSMUSG00000026147.14	5068
ENSMUSG00000026141.11	6887
ENSMUSG00000077463.1	137
ENSMUSG00000099997.1	1337
ENSMUSG00000100131.1	876
ENSMUSG00000067736.2	294
ENSMUSG00000101939.1	345
ENSMUSG00000101111.1	783
ENSMUSG00000100862.1	678
ENSMUSG00000102070.1	681
ENSMUSG00000101249.1	492
ENSMUSG00000073725.6	5960
ENSMUSG00000100808.1	661
ENSMUSG00000100483.1	1216
ENSMUSG00000100450.1	816
ENSMUSG00000099392.1	448
ENSMUSG00000033569.15	18559
ENSMUSG00000080849.1	444
ENSMUSG00000104257.1	1551
ENSMUSG00000096866.1	107
ENSMUSG00000102296.1	1031
ENSMUSG00000103209.1	3375
ENSMUSG00000104027.1	3433
ENSMUSG00000102407.1	2533
ENSMUSG00000103214.1	3105
ENSMUSG00000104100.1	3257
ENSMUSG00000084740.1	104
ENSMUSG00000103889.1	2935
ENSMUSG00000101301.1	570
ENSMUSG00000104221.1	2943
ENSMUSG00000102250.1	3995
ENSMUSG00000102317.1	5440
ENSMUSG00000103563.1	2741
ENSMUSG00000102465.1	3581
ENSMUSG00000102659.1	3691
ENSMUSG00000103924.1	4550
ENSMUSG00000104132.1	3625
ENSMUSG00000102747.1	3310
ENSMUSG00000102386.1	1017
ENSMUSG00000103004.1	330
ENSMUSG00000104516.1	1222
ENSMUSG00000101618.1	556
ENSMUSG00000099458.1	651
ENSMUSG00000088111.1	106
ENSMUSG00000073722.3	4318
ENSMUSG00000095256.1	119
ENSMUSG00000100310.1	417
ENSMUSG00000101514.1	2002
ENSMUSG00000101033.1	654
ENSMUSG00000101372.1	1873
ENSMUSG00000103241.1	1514
ENSMUSG00000086240.4	274
ENSMUSG00000048411.4	2887
ENSMUSG00000081557.2	2482
ENSMUSG00000058590.2	304
ENSMUSG00000101235.1	550
ENSMUSG00000064433.1	112
ENSMUSG00000080625.1	100
ENSMUSG00000080391.1	96
ENSMUSG00000099257.1	125
ENSMUSG00000099492.1	1312
ENSMUSG00000101726.1	622
ENSMUSG00000096829.1	110
ENSMUSG00000098883.1	107
ENSMUSG00000053185.2	1161
ENSMUSG00000100261.1	1210
ENSMUSG00000101180.1	328
ENSMUSG00000048874.13	14190
ENSMUSG00000103783.1	2884
ENSMUSG00000104315.1	3035
ENSMUSG00000026064.13	5763
ENSMUSG00000086151.3	724
ENSMUSG00000086726.2	727
ENSMUSG00000087346.2	723
ENSMUSG00000100371.1	881
ENSMUSG00000100237.1	585
ENSMUSG00000098529.1	138
ENSMUSG00000086727.5	1516
ENSMUSG00000100910.1	2858
ENSMUSG00000099796.1	225
ENSMUSG00000050217.11	1937
ENSMUSG00000026063.4	1451
ENSMUSG00000077664.1	127
ENSMUSG00000100205.1	559
ENSMUSG00000100592.1	564
ENSMUSG00000094215.2	696
ENSMUSG00000101093.1	1337
ENSMUSG00000070960.4	1513
ENSMUSG00000088620.1	107
ENSMUSG00000082159.2	835
ENSMUSG00000026058.9	10291
ENSMUSG00000064688.1	107
ENSMUSG00000103482.1	1809
ENSMUSG00000104498.1	1628
ENSMUSG00000104313.1	1545
ENSMUSG00000102865.1	1437
ENSMUSG00000102321.1	3413
ENSMUSG00000091318.2	3609
ENSMUSG00000089489.1	63
ENSMUSG00000104433.1	2470
ENSMUSG00000089395.1	292
ENSMUSG00000102926.1	5007
ENSMUSG00000100497.1	2131
ENSMUSG00000102917.1	1221
ENSMUSG00000100481.1	1789
ENSMUSG00000100590.1	751
ENSMUSG00000088750.1	110
ENSMUSG00000104230.1	650
ENSMUSG00000101754.2	1693
ENSMUSG00000065223.1	100
ENSMUSG00000100318.2	913
ENSMUSG00000101612.2	2255
ENSMUSG00000065260.1	106
ENSMUSG00000026134.11	5938
ENSMUSG00000101682.1	418
ENSMUSG00000102714.1	3075
ENSMUSG00000102093.1	328
ENSMUSG00000103746.1	889
ENSMUSG00000102198.1	2314
ENSMUSG00000004768.12	8285
ENSMUSG00000042215.8	3059
ENSMUSG00000103072.1	341
ENSMUSG00000042197.11	15839
ENSMUSG00000081402.4	2557
ENSMUSG00000042182.14	3421
ENSMUSG00000104416.1	1628
ENSMUSG00000026131.15	38847
ENSMUSG00000103888.1	23154
ENSMUSG00000103596.1	2384
ENSMUSG00000099382.1	334
ENSMUSG00000084506.1	93
ENSMUSG00000103364.1	1698
ENSMUSG00000105982.1	73
ENSMUSG00000103405.1	7920
ENSMUSG00000096992.3	4782
ENSMUSG00000104475.1	2225
ENSMUSG00000103001.1	1247
ENSMUSG00000104397.1	430
ENSMUSG00000102839.1	387
ENSMUSG00000101206.1	1162
ENSMUSG00000101462.2	2937
ENSMUSG00000102336.1	6263
ENSMUSG00000092852.1	79
ENSMUSG00000042111.9	2543
ENSMUSG00000101711.1	529
ENSMUSG00000026127.11	8553
ENSMUSG00000026126.13	6492
ENSMUSG00000100280.2	2409
ENSMUSG00000101223.4	1298
ENSMUSG00000026125.7	1333
ENSMUSG00000101116.1	292
ENSMUSG00000026124.4	1040
ENSMUSG00000101803.1	475
ENSMUSG00000037529.11	2105
ENSMUSG00000045815.4	510
ENSMUSG00000045174.10	4392
ENSMUSG00000100524.1	423
ENSMUSG00000102499.1	235
ENSMUSG00000103521.1	1396
ENSMUSG00000104098.1	646
ENSMUSG00000037509.16	9561
ENSMUSG00000106790.1	945
ENSMUSG00000102537.1	148
ENSMUSG00000102612.1	355
ENSMUSG00000104002.2	2549
ENSMUSG00000037503.10	5219
ENSMUSG00000104358.1	3036
ENSMUSG00000026123.9	7987
ENSMUSG00000103716.1	2137
ENSMUSG00000103548.1	229
ENSMUSG00000103760.1	436
ENSMUSG00000103997.1	235
ENSMUSG00000077231.1	129
ENSMUSG00000104417.1	640
ENSMUSG00000064601.1	105
ENSMUSG00000101714.1	452
ENSMUSG00000102531.1	566
ENSMUSG00000103096.1	904
ENSMUSG00000102279.1	463
ENSMUSG00000103708.1	761
ENSMUSG00000104201.1	425
ENSMUSG00000102434.1	1372
ENSMUSG00000045216.7	5542
ENSMUSG00000104523.1	447
ENSMUSG00000102202.1	4340
ENSMUSG00000037470.12	12853
ENSMUSG00000098752.1	62
ENSMUSG00000047180.8	3217
ENSMUSG00000037447.14	12540
ENSMUSG00000102762.1	713
ENSMUSG00000010453.10	6742
ENSMUSG00000098680.1	77
ENSMUSG00000037432.13	6356
ENSMUSG00000001143.11	7359
ENSMUSG00000037408.10	4829
ENSMUSG00000104316.1	2159
ENSMUSG00000106081.1	141
ENSMUSG00000001138.11	6420
ENSMUSG00000102845.1	269
ENSMUSG00000067653.9	2697
ENSMUSG00000103661.3	2327
ENSMUSG00000079610.6	4654
ENSMUSG00000026121.11	4593
ENSMUSG00000087589.3	2830
ENSMUSG00000046337.15	3190
ENSMUSG00000089906.1	345
ENSMUSG00000077939.1	75
ENSMUSG00000061518.8	1552
ENSMUSG00000037351.7	4274
ENSMUSG00000102416.2	780
ENSMUSG00000104237.1	1633
ENSMUSG00000106804.1	401
ENSMUSG00000026117.10	2992
ENSMUSG00000097291.1	1012
ENSMUSG00000026116.9	9413
ENSMUSG00000103016.1	143
ENSMUSG00000102930.1	2413
ENSMUSG00000103159.1	3552
ENSMUSG00000080054.3	498
ENSMUSG00000095944.1	119
ENSMUSG00000050122.16	5386
ENSMUSG00000103603.1	992
ENSMUSG00000026114.12	3957
ENSMUSG00000102231.1	346
ENSMUSG00000026113.15	10387
ENSMUSG00000086064.1	861
ENSMUSG00000102879.1	534
ENSMUSG00000026112.7	5220
ENSMUSG00000026111.13	1579
ENSMUSG00000026110.13	12881
ENSMUSG00000103948.1	2755
ENSMUSG00000087233.1	1790
ENSMUSG00000026090.14	5075
ENSMUSG00000089767.1	560
ENSMUSG00000104365.1	1926
ENSMUSG00000102650.1	2218
ENSMUSG00000060771.12	10662
ENSMUSG00000097268.1	3089
ENSMUSG00000037216.5	2051
ENSMUSG00000026088.13	2770
ENSMUSG00000026087.9	3226
ENSMUSG00000061584.6	2564
ENSMUSG00000087374.1	3990
ENSMUSG00000026085.9	888
ENSMUSG00000089141.1	237
ENSMUSG00000058407.10	9102
ENSMUSG00000026083.10	9753
ENSMUSG00000026082.9	6168
ENSMUSG00000103804.1	701
ENSMUSG00000102716.1	1848
ENSMUSG00000037138.14	6579
ENSMUSG00000085391.1	912
ENSMUSG00000085280.1	639
ENSMUSG00000087131.5	1853
ENSMUSG00000102984.1	529
ENSMUSG00000102541.1	502
ENSMUSG00000103531.1	503
ENSMUSG00000048814.8	7506
ENSMUSG00000026080.11	11964
ENSMUSG00000103647.1	325
ENSMUSG00000102447.1	772
ENSMUSG00000067604.6	1001
ENSMUSG00000026078.8	4219
ENSMUSG00000103046.1	1639
ENSMUSG00000104188.1	1843
ENSMUSG00000103182.1	2087
ENSMUSG00000098833.1	97
ENSMUSG00000026077.13	4791
ENSMUSG00000092553.1	283
ENSMUSG00000092563.1	555
ENSMUSG00000073702.9	1662
ENSMUSG00000003134.8	5239
ENSMUSG00000102607.1	885
ENSMUSG00000065629.2	215
ENSMUSG00000104827.1	216
ENSMUSG00000003135.13	3508
ENSMUSG00000085894.1	1832
ENSMUSG00000077704.1	110
ENSMUSG00000048234.11	2838
ENSMUSG00000064936.1	130
ENSMUSG00000102471.1	589
ENSMUSG00000050967.5	6091
ENSMUSG00000097083.1	3663
ENSMUSG00000057173.8	2139
ENSMUSG00000091937.3	352
ENSMUSG00000101634.4	1068
ENSMUSG00000026074.12	9579
ENSMUSG00000102985.1	1330
ENSMUSG00000026073.11	1908
ENSMUSG00000097899.2	842
ENSMUSG00000102975.1	3071
ENSMUSG00000026072.10	6363
ENSMUSG00000103560.1	6480
ENSMUSG00000070942.6	6812
ENSMUSG00000103230.1	685
ENSMUSG00000026069.13	6894
ENSMUSG00000026070.13	4817
ENSMUSG00000026068.9	6752
ENSMUSG00000104441.1	479
ENSMUSG00000026065.8	4562
ENSMUSG00000102676.1	3947
ENSMUSG00000026062.10	6984
ENSMUSG00000103679.1	803
ENSMUSG00000103270.1	3261
ENSMUSG00000041945.10	5125
ENSMUSG00000079588.3	2716
ENSMUSG00000094136.2	496
ENSMUSG00000104072.1	546
ENSMUSG00000100185.1	2613
ENSMUSG00000100832.1	3198
ENSMUSG00000100178.1	1045
ENSMUSG00000101877.1	1099
ENSMUSG00000053640.2	1383
ENSMUSG00000101919.1	463
ENSMUSG00000101299.1	399
ENSMUSG00000100180.1	1271
ENSMUSG00000103106.1	533
ENSMUSG00000060424.12	4458
ENSMUSG00000104199.1	676
ENSMUSG00000093436.4	1712
ENSMUSG00000045515.3	7409
ENSMUSG00000097063.3	1257
ENSMUSG00000099784.1	2170
ENSMUSG00000060679.12	5763
ENSMUSG00000077448.1	134
ENSMUSG00000041907.9	7238
ENSMUSG00000089088.1	85
ENSMUSG00000070939.7	10972
ENSMUSG00000100269.1	414
ENSMUSG00000041878.3	1248
ENSMUSG00000010290.7	3458
ENSMUSG00000008136.12	1897
ENSMUSG00000094497.1	483
ENSMUSG00000099576.1	1188
ENSMUSG00000099694.1	453
ENSMUSG00000101923.1	380
ENSMUSG00000066877.9	4455
ENSMUSG00000103422.1	2491
ENSMUSG00000103945.1	1293
ENSMUSG00000026051.8	902
ENSMUSG00000100764.1	458
ENSMUSG00000100635.1	612
ENSMUSG00000100480.1	499
ENSMUSG00000057363.10	5097
ENSMUSG00000090243.1	1279
ENSMUSG00000100701.1	545
ENSMUSG00000101395.1	816
ENSMUSG00000088848.1	125
ENSMUSG00000095757.1	110
ENSMUSG00000041763.12	10078
ENSMUSG00000047343.4	4300
ENSMUSG00000090106.1	180
ENSMUSG00000091844.1	5985
ENSMUSG00000026049.9	1926
ENSMUSG00000101104.4	676
ENSMUSG00000026047.11	3199
ENSMUSG00000041684.9	4206
ENSMUSG00000026048.14	5864
ENSMUSG00000046828.3	3961
ENSMUSG00000089703.1	957
ENSMUSG00000100966.1	989
ENSMUSG00000100769.1	1108
ENSMUSG00000101567.1	309
ENSMUSG00000056870.7	3758
ENSMUSG00000102319.1	4563
ENSMUSG00000089877.1	420
ENSMUSG00000101701.1	905
ENSMUSG00000103071.1	1551
ENSMUSG00000100434.1	528
ENSMUSG00000100013.1	667
ENSMUSG00000101251.1	745
ENSMUSG00000101937.1	940
ENSMUSG00000026043.16	9816
ENSMUSG00000105211.1	141
ENSMUSG00000026042.14	9591
ENSMUSG00000104476.1	7217
ENSMUSG00000100218.1	524
ENSMUSG00000100361.1	981
ENSMUSG00000100894.1	584
ENSMUSG00000095121.1	107
ENSMUSG00000065255.1	131
ENSMUSG00000100843.1	1150
ENSMUSG00000087764.1	203
ENSMUSG00000025995.14	4900
ENSMUSG00000099850.1	1779
ENSMUSG00000084817.3	423
ENSMUSG00000098549.1	749
ENSMUSG00000099381.1	1176
ENSMUSG00000025993.8	9000
ENSMUSG00000099946.1	1601
ENSMUSG00000070896.2	465
ENSMUSG00000090682.4	264
ENSMUSG00000044457.6	4667
ENSMUSG00000099432.1	560
ENSMUSG00000041144.10	19980
ENSMUSG00000096047.1	119
ENSMUSG00000101262.1	1953
ENSMUSG00000101337.4	12603
ENSMUSG00000025986.6	6095
ENSMUSG00000100213.1	951
ENSMUSG00000103129.1	3870
ENSMUSG00000100160.1	297
ENSMUSG00000101921.1	238
ENSMUSG00000101447.1	488
ENSMUSG00000081185.1	729
ENSMUSG00000103246.1	1942
ENSMUSG00000098876.1	105
ENSMUSG00000100530.1	742
ENSMUSG00000104067.1	906
ENSMUSG00000100033.1	1938
ENSMUSG00000094968.1	121
ENSMUSG00000088017.1	270
ENSMUSG00000101996.1	827
ENSMUSG00000096973.1	986
ENSMUSG00000064943.1	121
ENSMUSG00000100866.1	213
ENSMUSG00000101721.1	1373
ENSMUSG00000099376.1	832
ENSMUSG00000097883.1	1011
ENSMUSG00000092790.1	442
ENSMUSG00000099698.1	215
ENSMUSG00000099454.1	887
ENSMUSG00000051616.12	582
ENSMUSG00000099627.1	1706
ENSMUSG00000099577.1	440
ENSMUSG00000099882.1	437
ENSMUSG00000101760.1	704
ENSMUSG00000099608.1	1493
ENSMUSG00000099864.1	726
ENSMUSG00000098249.1	132
ENSMUSG00000100451.1	528
ENSMUSG00000099941.1	162
ENSMUSG00000084531.1	314
ENSMUSG00000100816.1	2327
ENSMUSG00000026109.12	6707
ENSMUSG00000100671.1	1475
ENSMUSG00000092906.1	101
ENSMUSG00000101242.1	226
ENSMUSG00000099924.1	2273
ENSMUSG00000099625.1	2528
ENSMUSG00000101799.1	2552
ENSMUSG00000045954.7	3055
ENSMUSG00000099741.1	1025
ENSMUSG00000101702.1	548
ENSMUSG00000026107.9	8498
ENSMUSG00000099413.1	3979
ENSMUSG00000103424.1	2365
ENSMUSG00000101741.1	1420
ENSMUSG00000018417.12	10792
ENSMUSG00000101724.1	1279
ENSMUSG00000100313.1	2499
ENSMUSG00000100696.1	412
ENSMUSG00000099135.1	122
ENSMUSG00000072324.4	598
ENSMUSG00000062939.9	3872
ENSMUSG00000101628.1	3532
ENSMUSG00000078291.1	432
ENSMUSG00000026104.12	7105
ENSMUSG00000099569.1	888
ENSMUSG00000026103.12	15057
ENSMUSG00000099648.1	1399
ENSMUSG00000065192.1	109
ENSMUSG00000002881.12	4100
ENSMUSG00000097833.1	996
ENSMUSG00000101501.1	463
ENSMUSG00000100120.1	701
ENSMUSG00000099878.1	2943
ENSMUSG00000100007.1	642
ENSMUSG00000043015.13	7078
ENSMUSG00000103630.1	2085
ENSMUSG00000041439.13	8231
ENSMUSG00000100302.1	2491
ENSMUSG00000100230.1	411
ENSMUSG00000026102.7	6460
ENSMUSG00000041426.10	6059
ENSMUSG00000089802.1	862
ENSMUSG00000043629.10	4330
ENSMUSG00000026100.6	2705
ENSMUSG00000089334.1	101
ENSMUSG00000060715.7	777
ENSMUSG00000026098.11	7542
ENSMUSG00000100763.1	535
ENSMUSG00000026097.7	4711
ENSMUSG00000100679.1	785
ENSMUSG00000026096.12	6147
ENSMUSG00000099913.1	3142
ENSMUSG00000101838.4	1319
ENSMUSG00000026095.13	3528
ENSMUSG00000100267.1	323
ENSMUSG00000099450.1	573
ENSMUSG00000100069.1	339
ENSMUSG00000096141.2	12767
ENSMUSG00000092657.1	125
ENSMUSG00000026094.12	5185
ENSMUSG00000102405.1	1457
ENSMUSG00000042807.13	12947
ENSMUSG00000098443.1	72
ENSMUSG00000087949.1	114
ENSMUSG00000102868.1	2700
ENSMUSG00000094013.1	107
ENSMUSG00000025983.9	5021
ENSMUSG00000041303.7	4925
ENSMUSG00000073678.4	16611
ENSMUSG00000104136.1	1661
ENSMUSG00000101130.1	579
ENSMUSG00000052331.12	14175
ENSMUSG00000101674.4	2666
ENSMUSG00000102503.1	1410
ENSMUSG00000089245.1	105
ENSMUSG00000102642.1	2750
ENSMUSG00000025982.11	11370
ENSMUSG00000103030.1	1794
ENSMUSG00000025981.11	4805
ENSMUSG00000101122.1	806
ENSMUSG00000025980.12	2642
ENSMUSG00000073676.4	1474
ENSMUSG00000100736.1	794
ENSMUSG00000089670.1	991
ENSMUSG00000025979.11	4855
ENSMUSG00000061863.6	307
ENSMUSG00000025978.12	5871
ENSMUSG00000097649.1	1943
